,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
ARHGEF16,2.2280202830298017,1.9706392939621604,2.020450784021184,2.5149119272660467,2.0132679016762722,1.805768726740752,2.3238406381299264,1.5516231908874891,1.9360437057654836,2.0631977496889906,0.6798251148108845,1.7848844039951512,1.7771966007809097,1.2712922143940322,1.6395448865925795,1.795227122783414,2.56051245656279,2.0096647337930666,2.588081192333268,1.5019913575440824
MEGF6,1.0452505968951336,3.1132959340649506,1.6392243919687808,1.492398120055281,1.366874630844777,2.5362031659204236,1.0504315560625048,2.0791783411148512,2.757589749711681,1.8193329100206963,-0.38425055650861867,1.566886364233733,1.9944941679859314,2.071690037414488,2.182874879499649,2.6201308007002266,1.4079103281366732,-0.5882205823605954,2.778197258507116,2.890439118394155
TPRG1L,1.1593818291861093,1.0988505450833739,0.8547530295743037,1.2156498715104904,0.9524950053620593,1.2032240764170465,1.0368073748066313,0.6972844787342594,1.2607149420526886,1.1494447025617596,0.1974348130846789,0.9199011857312963,0.8263141563379448,0.5024088950209421,0.8220252119307191,0.9310218229680028,1.1444113950231019,1.1237035196855756,1.0737817414235329,0.8449468494015795
TP73,0.8134786351137269,1.0190200713843183,-1.5662342043121649,0.31820260912049836,1.2143940640743338,-0.09821569254609441,0.9713190007153759,-1.4935612675164223,0.9067730232831522,-1.201860881626667,-0.9609160063380389,-1.866652407308786,0.4472647808241944,-0.8396978421663538,-1.321899221103393,0.276685604992071,-4.042875547807261,-3.477166684016114,0.7716851453955303,-1.9344566583923546
CCDC27,1.9514797381045945,2.1933478640856405,0.5539135651629559,2.7419734855773856,2.3384668672549,2.4934120483654714,2.3362219299704168,2.175164834663939,1.6741463496807862,0.6241896977251048,2.0359069735665973,1.0353110426125995,0.6513094549771874,1.9063126710288354,2.228054905434924,2.535450790939954,2.924015225001816,2.0967111908984677,2.9423664057093615,2.3944133760000263
LRRC47,1.7663136034170523,2.085581027196811,2.3292988955518075,0.7879587311881717,2.1557091440937177,1.6388887342486544,1.3204776923238377,0.9933317926511305,2.238481101559327,2.3922844791619537,0.16117110821488878,1.6810601278071862,1.9309277495481085,1.1951032020001218,2.0903702460904845,1.6216234345079588,2.0170018972847568,2.1189936698380207,3.0832537145817667,0.6827036170723987
DFFB,4.5823187280228765,4.031394604631788,3.928890338239062,4.274208467376815,3.9717078665580603,3.9638442763706196,3.8417246514032297,3.822923135636286,4.011378048976534,3.735645493106748,3.3114610914488227,3.7145149119776897,4.263568592366887,3.152151598843457,4.592066901733004,3.5697203814615652,3.6976421977604215,4.802584069791405,4.386758487814642,4.162861454662815
C1orf174,4.2510201772832845,2.2794019163187285,4.153031712106662,4.2065249305674275,4.021921177108088,4.454118700018417,3.1728923005982272,4.031424672577175,3.2728416973149326,4.254205170707102,3.325694751202901,3.0734937630444374,3.8449783820683385,3.2042387197154065,0.48514970843229477,2.602269294816098,3.4151836130539945,3.3167946238187134,3.851069544519486,3.262289688220757
NPHP4,2.0198567075100784,3.7094970400147447,3.7540176173659123,4.059412237646558,3.8250456954680176,3.730430549496196,3.532193822200058,3.38545357682795,3.7725613760326353,3.7796374994841972,0.04150090270178272,2.758645641270795,2.737524113014582,2.3651099514059215,3.822841912259621,3.6853885197097496,2.5828454086603023,2.8647814970855,3.4826473763283596,3.028307554176313
CHD5,2.308316975621272,1.5892082386673267,1.1418200516973012,0.8816830937166599,4.2321262092961565,0.6327793588703056,2.8051307103237284,2.566599150316304,0.6068923422194922,-1.9355043959916374,0.18969463967261416,0.668447632028714,0.7944712794735613,1.2408529260042027,1.3975289478810802,0.9111868979518436,-0.0035543406756377845,1.5513243952382303,0.5605674687295469,0.4930956357704521
RPL22,-0.22869261532026533,-0.29897205133629745,-0.22594351238787427,-0.17419272034086997,-0.20418055872903357,-0.16976433339251346,-0.2035493075249821,-0.2138891831695574,-0.2573884521566922,-0.23385897901029115,-0.23996100380745408,-0.23747310884197742,-0.22363013582504743,-0.28316657641510834,-0.23279343955894066,-0.28450012024850874,-0.3482920316050958,-0.2804760981118411,-0.2108241475053156,-0.24468113508688372
RNF207,-0.3460700157625585,0.7471578527901592,0.8956969679892198,0.20600897677118726,-1.1293952668697835,-0.6433447122775253,-0.38207515657044866,-1.0091929632523253,-2.652077708146655,-3.106056601119402,-3.1092693624698935,-0.8885861803333852,0.6748193448723084,-1.3181508741518626,0.5398927064016165,0.2657046910646344,-1.8460708080758328,1.634314311898948,0.17416207866733086,-0.0996695791785174
ICMT,3.838373399134717,3.9759339807101397,3.359309009868438,3.859990819347005,4.080136836868635,3.885189461676632,2.487915141939612,3.773383020440277,3.7884363039302578,3.5520860900846336,3.9336137635719113,4.068181670917579,4.223762678961414,4.413064283877657,4.269501819895883,3.6310723369644617,4.433340736403324,4.279115420294823,3.747364837840869,3.869941599292269
HES3,-4.421265988249454,-4.227372341237257,-4.24987793832948,-4.679473355352165,-4.538199456760956,-4.513812171059075,-4.592349624460658,-4.342311762019997,-3.6652272974452975,-4.577318379338925,-5.1392306558186664,-4.45632479003532,-4.140853445655851,-4.3523842267909965,-4.809885439202314,-3.6839686873117703,-4.922972297583471,-4.732442913061682,-4.867639202319898,-4.474032867359191
GPR153,4.385008717850023,4.868941143115086,3.5556559254135616,5.087590165536123,4.161160695840035,3.0910617465783736,5.346085305054676,2.5951377646361062,2.5893530503864994,0.008375635491064314,5.573438596897256,1.6211768534376538,0.5516544740169611,1.7394662862846646,4.608264019334235,3.3868809466428598,5.282119423686605,-0.36629871437193806,3.0222105494469043,2.510939650463834
ACOT7,-1.748008739518147,-2.4686306708796253,-1.9070396245051124,-1.0583013604619698,-2.7929773371361044,-1.4788968642056481,-2.27221674671188,-1.5349091909627963,-2.342059241835294,-2.6723940645197892,-2.199231214662837,-1.9691410982524062,-2.3036069311153233,-2.0530378704083825,-2.004895098560495,-1.881008685152083,-2.3290131659056983,-3.246259135225608,-1.6822519514383372,-1.946648754238693
HES2,-1.9106763065596828,-2.225724564182358,-2.349926153792463,-2.2618025740880143,-0.9001527797817593,-2.0926978097617237,-2.642137503347968,-1.9933671225279697,-2.1455366732079257,-3.039929761328699,-3.721710388099839,-2.0590319003316795,-2.7214190376649183,-1.9329327963885061,-2.3474666340270156,-0.7839974658448483,-2.620001601211654,-3.552623633550514,-2.8842704050518915,-2.3708735237383607
ESPN,0.8408615243555855,-1.142791137202255,-1.6794914777166055,-0.7870267926362596,-0.8086881963695468,-1.627761053868812,0.8522437923210757,-1.566154056828337,-1.2059265647737794,1.0803760487846008,-1.3699252331732747,-1.7710220412258193,-0.8478599799646286,-2.5097884562267394,-1.669245224493534,-1.3903724866278226,-1.4500514399675453,-1.6433097079897616,-1.4123105612233906,-1.284334400551825
PLEKHG5,0.16343370704804264,1.949041000565109,0.6986939018251581,1.6803266298726705,1.2587253110187397,1.6783497426008926,-0.0025806978771881254,1.1018908721692522,1.2349164569777114,0.15270266230422175,-0.679513344117899,1.5452142880220998,1.6481268770710709,1.156784948896425,1.269723779746992,1.3286441688460817,2.9850646884283285,-0.16450099476721164,1.692958038363608,1.3964382503857986
NOL9,4.248766756546114,3.410798029418302,4.2347497008887025,4.014748668350558,3.951266351664057,3.8303582994466425,4.234516170755616,3.504516135952233,3.902175507557915,1.5678254753363636,3.003519826007894,3.851595386065048,3.4594128950279828,3.523989330780923,4.056822801180136,3.6813744964919457,3.738287997213556,4.452538780161824,3.9532434248785293,2.712244769626587
