gene_name,tm1,tm2,tm3,tm4,tm5,tm6,tm7,tm8,tm9,tm10,tw1,tw2,tw3,tw4,tw5,tw6,tw7,tw8,tw9,tw10
BSND,0.0084,0.0158,0.0362,0.0,0.0,0.0,0.0054,0.0212,0.0,0.0,0.0089,0.7052,0.0,0.0066,0.0535,0.0,11.4995,0.0205,0.0,25.962
USP24,47.3835,15.036,22.735,20.3507,11.4207,20.4641,49.2825,38.6757,17.368,19.4929,31.6738,24.0853,34.5859,38.4349,47.132,15.4392,2.7941,11.4584,22.762,15.5137
NOL9,12.9835,7.9697,12.8423,9.0389,7.1865,10.6284,16.6516,16.0426,9.9883,8.2803,22.6924,10.7438,11.3329,12.2714,20.65,15.4496,1.1096,15.5722,8.8463,4.8583
PRKAA2,19.7299,3.457,7.8448,3.9831,1.7229,7.6866,9.0583,4.9779,2.3775,0.0238,3.997,2.3628,0.619,4.0875,0.2233,2.2849,2.1918,4.302,5.2608,24.9997
KLHL21,31.1913,27.4913,19.4,78.1183,25.5092,31.0299,24.5316,27.5519,27.4261,19.232,76.8594,20.2187,36.3289,49.4488,64.8475,38.3996,16.4796,28.3403,40.0214,27.0342
ZSWIM5,7.0122,2.5539,2.2035,24.2489,19.5169,8.7475,6.8748,8.076,8.3104,11.8151,2.7271,2.8425,15.4523,3.4774,0.7803,4.296,0.3235,0.5142,16.7816,1.0849
SLC45A1,4.2198,1.8968,0.8972,1.9536,1.6479,1.6808,2.6523,7.4773,10.4542,0.4713,2.6776,1.9931,3.184,3.2211,4.1407,1.3038,0.6785,4.4882,1.8781,1.4768
JAK1,68.8937,31.7758,37.7123,64.7805,33.3903,56.5199,84.7548,120.486,40.2155,35.0938,67.1845,70.9277,55.6262,97.4862,93.7306,55.7232,3.7925,13.6428,57.2753,64.5415
RAVER2,12.0453,13.8375,6.2185,8.4292,3.3769,8.2075,10.2593,25.736,5.618,18.0113,34.5513,17.0617,33.193,18.4352,4.1413,6.9134,2.4146,13.545,6.9808,22.0903
CTRC,0.0,0.1327,0.1421,0.498,0.0844,0.1046,0.0151,1.4449,0.0,0.032,0.05,0.1554,5.686,0.0185,0.6002,0.0,0.0372,0.0574,0.0302,0.0122
LZIC,51.4442,23.1217,18.0503,18.4276,16.7739,29.7401,59.2267,44.3896,12.1145,39.7381,52.4945,20.884,37.4331,25.3017,28.1458,19.2501,2.3665,27.618,21.5838,13.9421
RBP7,16.7171,40.4064,6.0682,32.6245,23.5359,55.0916,30.2287,46.4663,0.7449,0.4523,68.5485,9.4213,6.1315,48.9521,17.0364,8.6788,29.1009,28.854,31.553,78.3961
KNCN,0.1396,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.019,0.0,0.1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM82,1.7022,0.0,0.049,0.0429,0.0291,0.0505,0.0,0.0478,0.0,2.0456,0.0,0.0536,2.5595,0.0446,0.1811,0.081,0.0539,0.0,0.0,0.0
SLC25A34,0.5887,0.4617,0.5294,2.3939,0.3901,2.8803,1.2143,12.6603,0.342,0.6674,2.3203,1.5988,2.2129,0.7334,1.6909,0.6303,2.1371,0.4595,1.4157,0.6646
AKR7A3,69.4765,1.0148,3.1416,1.3765,1.2791,0.7793,22.356,16.7952,1.1743,60.0035,3.2231,1.2095,71.8556,1.3786,0.9463,0.5772,2.4553,5.104,0.7347,16.6437
DHRS3,29.6756,34.5501,121.6645,513.2411,552.4108,183.0532,36.7212,75.8631,133.7517,95.6077,120.2233,75.2321,76.2704,46.3145,166.0315,60.9904,48.9006,23.9598,383.8627,96.7463
