,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
1,HALLMARK_G2M_CHECKPOINT,1.1635593973470918e-06,-4.861744170562957,5.236017288061913e-05,ABL1;AURKB;BARD1;BCL3;BRCA2;BUB1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC6;CDK4;CDKN1B;CENPE;CENPF;CHAF1A;CKS2;CTCF;CUL1;CUL3;CUL5;DBF4;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;FANCC;GINS2;HIRA;HMGN2;HOXC10;HUS1;KIF11;KIF20B;KIF22;KIF2C;KIF5B;KPNB1;LMNB1;MAD2L1;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MNAT1;MT2A;MYBL2;MYC;NCL;NEK2;NOLC1;NOTCH2;NUMA1;ODC1;ODF2;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;POLA2;POLQ;PRIM2;PRPF4B;PTTG1;RAD21;RAD23B;RASAL2;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC7A1;SLC7A5;SMAD3;SMARCC1;SNRPD1;SQLE;STAG1;STMN1;TACC3;TGFB1;TOP1;TOP2A;TRA2B;TRAIP;TROAP;UBE2S;UCK2;UPF1;WRN;XPO1,MARCKS;PDS5B;HOXC10;HUS1;STAG1;TRAIP;STMN1;MAD2L1;KIF20B;RPA2;MCM2;KIF2C;KIF11;MYC;BRCA2;BUB1;PBK;CDC20;CDC6;CENPE;PLK4;PRIM2;CENPF;SLC7A5;E2F2;XPO1;CCNA2;SAP30;MCM6;POLQ;DBF4;MYBL2;TACC3;MCM3;CCNB2;ESPL1;NOTCH2;NEK2;UCK2;TOP2A;CHAF1A;BARD1;UBE2S;GINS2;MCM5;TROAP;SLC12A2;AURKB;RAD21;CCNT1;SFPQ,CTCF;E2F4;MT2A;SLC12A2;LMNB1;EFNA5;PTTG1;RAD21;UCK2;RASAL2;CENPF;NEK2;SQLE;MYC;NCL;CUL3;MCM6;TACC3;E2F1;TOP1;MYBL2;ODC1;CUL5;NUMA1;CCND1;POLA2;RBM14,UCK2;GINS2;MAD2L1;CDK4;MCM3;E2F1;ABL1;POLA2;CENPE;SMARCC1;SLC7A5;HOXC10;CUL5;BARD1;MEIS1;MYBL2;RAD21;UPF1;NCL;PRIM2,-2.2036816167809548,1.13332678477865,0.8627054791584567,-0.8990327171383189,0.05495264826029652,0.006329299270943603,-2.2050319149022175
0,HALLMARK_E2F_TARGETS,6.226148761851839e-06,-4.518560485976448,8.75104862946377e-05,ASF1A;ASF1B;ATAD2;AURKB;BARD1;BRCA2;BRMS1L;BUB1B;CCNB2;CDC20;CDCA3;CDCA8;CDK4;CDKN1B;CENPE;CIT;CKS2;CTCF;DCK;DCLRE1B;DCTPP1;DIAPH3;DONSON;DSCC1;E2F8;EIF2S1;ESPL1;EXOSC8;GINS1;GINS4;HELLS;HUS1;IPO7;KIF18B;KIF22;KIF2C;LIG1;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MELK;MSH2;MYBL2;MYC;NAA38;NBN;NCAPD2;NOLC1;NUDT21;NUP107;NUP153;NUP205;PA2G4;PDS5B;PLK1;PLK4;PNN;POLA2;POLD1;POLD3;POLE4;POP7;PPM1D;PRIM2;PTTG1;RAD21;RAN;RANBP1;RFC1;RFC3;RNASEH2A;RPA1;RPA2;RPA3;SLBP;SMC3;SPAG5;SPC24;SPC25;SSRP1;STAG1;STMN1;TACC3;TIMELESS;TK1;TOP2A;TRA2B;TRIP13;TUBB;TUBG1;UBE2S;WDR90;XPO1;XRCC6,DCK;ASF1A;RNASEH2A;PDS5B;HUS1;STAG1;EIF2S1;NUP205;STMN1;NBN;MSH2;MAD2L1;TUBB;RPA2;MCM2;KIF2C;MYC;BRCA2;NCAPD2;DIAPH3;CDC20;CDCA8;RFC3;CENPE;PLK4;MELK;PRIM2;DSCC1;XPO1;DCLRE1B;MCM6;MYBL2;TACC3;BUB1B;ASF1B;MCM3;CCNB2;ESPL1;GINS1;CDCA3;KIF18B;E2F8;SPC24;TOP2A;SPC25;BARD1;UBE2S;SPAG5;NUP107;GINS4;MCM5;RAN;RANBP1;AURKB;TK1;RAD21;NUP153;ATAD2;PLK1;TRIP13;SMC3;SLBP;PA2G4;CKS2;HELLS,CTCF;NUDT21;LMNB1;NBN;PTTG1;DSCC1;RAD21;ATAD2;MYC;TRIP13;RFC1;MCM6;SLBP;TACC3;SPC25;GINS1,POLE4;CIT;BRMS1L;PDS5B;SPC25;EXOSC8;SMC3;TACC3;STMN1;NCAPD2;XRCC6;MCM6;E2F8;CKS2;TK1;CCNB2;SPAG5;TRIP13;HUS1;PA2G4;NAA38,-2.746485796115973,0.907893305513638,-0.8153370684837905,-1.4086323472920752,0.02931734092924044,-0.008928448335453695,-2.3960372899142817
39,HALLMARK_ANDROGEN_RESPONSE,6.496490536225693e-06,-4.5095512308102,8.75104862946377e-05,ABCC4;ADAMTS1;AKAP12;ALDH1A3;ANKH;APPBP2;ARID5B;B2M;B4GALT1;BMPR1B;CCND1;DHCR24;DNAJB9;ELL2;ELOVL5;FADS1;GNAI3;GPD1L;GSR;HERC3;HSD17B14;IDI1;IQGAP2;KRT19;KRT8;LMAN1;MAK;MAP7;MERTK;NKX3-1;PA2G4;PGM3;PIAS1;PTPN21;RAB4A;SCD;SEC24D;SGK1;SLC26A2;SLC38A2;SORD;SPCS3;SPDEF;SRF;SRP19;STEAP4;STK39;TMEM50A;TNFAIP8;TSC22D1;UBE2J1;XRCC5;XRCC6;ZMIZ1,STEAP4;ELL2;SGK1;MAK;TSC22D1;FADS1;SPDEF,IQGAP2;ELL2;TNFAIP8;SRP19;ANKH;SLC26A2;RAB4A;STK39;CCND1;XRCC5;FADS1;SPCS3;MAK;SRF;BMPR1B;HERC3;PGM3;UBE2J1;ELOVL5;MERTK;SEC24D;SPDEF;STEAP4;NKX3-1;GSR,ELL2;ANKH;PIAS1;IQGAP2;DHCR24;ADAMTS1;SCD;PGM3;MERTK;BMPR1B;MAK;NKX3-1;KRT19;CCND1;GPD1L;XRCC6;STK39;GNAI3;FADS1;AKAP12;PA2G4,0.956977310906273,1.0931146302451569,-1.9555273569498783,1.2950284165297544e-17,0.12996074065869956,-0.6392426014854697,-1.7492294932362518
4,HALLMARK_COMPLEMENT,7.778709892856685e-06,-4.471185747352673,8.75104862946377e-05,ACTN2;AKAP10;ANXA5;APOA4;APOC1;ATOX1;BRPF3;C1QA;C1R;C3;CA2;CALM3;CBLB;CCL5;CDA;CDH13;CDK5R1;CFB;CFH;COL4A2;CP;CTSC;CTSO;CTSS;CXCL1;DOCK10;DOCK4;DPP4;DUSP5;EHD1;F10;F2;F3;F5;FCER1G;FCN1;FDX1;GCA;GMFB;GNAI2;GNAI3;GNB2;GNB4;GNG2;GNGT2;GP1BA;GP9;GZMA;GZMB;GZMK;HPCAL4;HSPA5;IL6;IRF1;IRF2;JAK2;KCNIP3;KLK1;KLKB1;KYNU;L3MBTL4;LAP3;LCP2;LRP1;LTA4H;LTF;ME1;MMP13;MMP14;MMP15;MMP8;MT3;NOTCH4;OLR1;PCLO;PCSK9;PDGFB;PFN1;PIK3CG;PIM1;PLA2G4A;PLEK;PLSCR1;PPP4C;PRDM4;PREP;PRSS3;PRSS36;RABIF;RAF1;RHOG;RNF4;S100A12;S100A9;SERPINC1;SH2B3;SIRT6;SPOCK2;STX4;TFPI2;TIMP2;TMPRSS6;TNFAIP3;USP15;ZFPM2,GMFB;F5;KLKB1;TIMP2;LRP1;GNB4;SH2B3;PIM1;CDH13;PRDM4;GNG2;CBLB;PDGFB;MMP14;GNAI3;TNFAIP3;FCN1;CDK5R1;GNGT2;S100A12;DOCK10;PIK3CG;ZFPM2;C1R;KYNU;GZMK;SPOCK2;MT3;CTSS;LCP2;JAK2;CALM3;PCLO;CTSC;PLEK;FCER1G;IRF2;KCNIP3;PRSS36;L3MBTL4;NOTCH4;F10;F2;COL4A2;GZMB;RHOG;C1QA;APOC1;GZMA;ACTN2,MMP15;MT3;GZMA;GZMK;IRF1;CA2;ATOX1;ZFPM2;LCP2;S100A9;S100A12;FCER1G;CTSS;F5;CFH;RABIF;PLA2G4A;SERPINC1;ACTN2,IL6;C3;PDGFB;MMP13;NOTCH4;PPP4C;CXCL1;CP;APOA4;TIMP2;ANXA5;SERPINC1;DOCK10;GNB4;DUSP5;GZMB;CA2;PCLO;S100A9;PREP;CFH;DPP4;F3;TFPI2;FCER1G;GNAI3;ME1;F10;CDH13;DOCK4;GNB2;PIM1;KLK1;RAF1;COL4A2;MMP15,-1.1854071564000936,1.277425009263121,-1.1793907802489974,-0.31864269018192964,0.007213655058061262,-0.15081819865474339,-4.011693749136794
2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.1084934819387985e-05,-4.165369020587153,0.00027976441337449186,ABI3BP;ANPEP;AREG;BASP1;BMP1;CAP2;CAPG;CDH11;CDH2;CDH6;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL7A1;COL8A2;COMP;CRLF1;CTHRC1;CXCL1;CXCL6;DAB2;DKK1;DPYSL3;DST;EDIL3;EFEMP2;EMP3;ENO2;FAP;FBLN5;FBN1;FBN2;FGF2;FMOD;FSTL1;FSTL3;FUCA1;GADD45A;GADD45B;GLIPR1;GPC1;GPX7;GREM1;HTRA1;ID2;IGFBP2;IGFBP4;IL6;INHBA;ITGA2;ITGA5;ITGB3;ITGB5;LAMA1;LAMC1;LGALS1;LOX;LOXL1;LOXL2;LRP1;LUM;MATN3;MFAP5;MGP;MMP14;MMP2;MSX1;NID2;NOTCH2;NT5E;NTM;OXTR;PCOLCE;PCOLCE2;PDGFRB;PLOD1;PLOD3;PPIB;SCG2;SDC4;SERPINH1;SFRP1;SFRP4;SGCB;SGCG;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;TFPI2;TGFB1;TGFBI;TGFBR3;THBS1;THBS2;THY1;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM4;VEGFC;VIM;WNT5A,DAB2;MSX1;ITGA5;COL5A3;LOX;FBN1;INHBA;COL1A2;ID2;COL5A2;LRP1;COL5A1;COL3A1;SLIT3;THY1;CTHRC1;LUM;FSTL1;PCOLCE2;PDGFRB;MMP14;COL6A2;TNFAIP3;COL16A1;PCOLCE;PLOD1;SGCB;SFRP4;SCG2;FMOD;GPX7;LGALS1;COL1A1;MMP2;COL8A2;FBLN5;THBS1;SPOCK1;FGF2;VIM;FBN2;ANPEP;COL4A1;NOTCH2;ABI3BP;TPM4;NID2;OXTR;MFAP5;SPARC;THBS2;LOXL1;MATN3;LAMC1;ITGB5;SFRP1;COMP;FAP,CDH11;EDIL3;ITGA2;DAB2;FBN2;LOX;MMP2;SPOCK1;TGFBI;SPARC;DPYSL3;TNFRSF11B;SNTB1;CTHRC1;CDH6;BASP1;SLIT3;FMOD;LAMC1,DST;LOXL2;PDGFRB;IL6;IGFBP4;FBN1;CXCL1;SFRP1;BMP1;DKK1;SNTB1;AREG;PPIB;TGFBI;GADD45A;THBS1;SLIT2;FBLN5;SLIT3;INHBA;LAMC1;TPM4;LGALS1;DPYSL3;TFPI2;SNAI2;FUCA1;FBN2;COL16A1;NT5E;HTRA1,-1.8275925576274437,1.3939920274136872,-1.232686434577872,-0.7473536675596498,0.041510703853763216,-0.13969144205188153,-2.893931640848688
12,HALLMARK_MTORC1_SIGNALING,0.029103459733349466,-2.1820822937462085,0.218275948000121,ABCF2;ACTR3;ADIPOR2;ARPC5L;ATP6V1D;BCAT1;BHLHE40;BTG2;BUB1;CALR;CCNF;CD9;COPS5;CORO1A;CTSC;CXCR4;CYB5B;DAPP1;DDIT4;DHCR24;EDEM1;EGLN3;EIF2S2;ELOVL5;ENO1;ETF1;FADS1;FADS2;GAPDH;GBE1;GCLC;GGA2;GMPS;GOT1;GPI;GSR;HK2;HMBS;HSP90B1;HSPA4;HSPA5;HSPA9;HSPE1;IDI1;IFI30;IGFBP5;LDLR;LTA4H;MAP2K3;MCM2;ME1;MLLT11;MTHFD2L;NAMPT;NMT1;NUFIP1;NUP205;PDAP1;PDK1;PGM1;PHGDH;PITPNB;PLK1;PNO1;PNP;POLR3G;PPA1;PPIA;PPP1R15A;PSMC2;PSMC6;PSMD14;QDPR;RDH11;RIT1;RPA1;RPN1;RRP9;SCD;SDF2L1;SEC11A;SERPINH1;SKAP2;SLC2A1;SLC7A11;SLC7A5;SLC9A3R1;SORD;SQLE;SRD5A1;SSR1;STARD4;STC1;STIP1;TES;TM7SF2;TMEM97;TUBA4A;TUBG1;TXNRD1;UCHL5;UFM1;USO1;YKT6,NAMPT;TXNRD1;BHLHE40;EGLN3;TM7SF2;RIT1;DDIT4;MTHFD2L;FADS1;ENO1;MAP2K3;HK2;LDLR;DHCR24;ARPC5L;SERPINH1;ME1;IDI1;TMEM97;HMBS;STARD4;STIP1;LTA4H;COPS5;SDF2L1;SEC11A;CYB5B,CYB5B;POLR3G;STARD4;HSPA4;HSPA9;ETF1;SRD5A1;MLLT11;UCHL5;BTG2;SQLE;RIT1;QDPR;PDK1;PSMD14;EIF2S2;CTSC;SERPINH1;TM7SF2;HSPE1;IGFBP5;CXCR4;TUBA4A;FADS1;FADS2;STIP1;SKAP2;USO1;MTHFD2L;DAPP1;ME1;GCLC;ELOVL5;PNO1;BUB1;HK2;ACTR3;SLC7A11;SSR1;PDAP1;STC1;GSR;NUP205;PPIA;YKT6;TUBG1;BCAT1;ABCF2;IDI1;COPS5;TES;PSMC2;NAMPT;SLC9A3R1;MAP2K3;TMEM97;RPA1;GOT1;NMT1;PPA1;DDIT4;SCD;ADIPOR2;HMBS;CCNF;GGA2;GAPDH;CD9;PLK1;CORO1A;DHCR24;PGM1,NAMPT;CALR;BHLHE40;DHCR24;PDAP1;SCD;SLC2A1;ACTR3;SDF2L1;GOT1;ENO1;RPN1;EGLN3;SLC9A3R1;TXNRD1;NMT1;SRD5A1;HSPE1;QDPR;STIP1;COPS5;USO1;RIT1;FADS1;PSMC6;ME1;TM7SF2;TMEM97;PHGDH;PPIA;CXCR4;HSPA9;RRP9;LDLR;IDI1;ARPC5L;PPA1;SERPINH1;DDIT4;TUBG1;HSPA4;STC1;GPI,0.4716268465813273,0.9237494995588736,-1.3271959667821482,1.2085277883991506e-17,0.11039580429066741,-0.27530929009239286,-1.174088983739017
20,HALLMARK_ADIPOGENESIS,0.034602607161880114,-2.1129785112879484,0.22244533175494358,ABCA1;ABCB8;ACAA2;ACADL;ACADS;ACO2;ADIG;ADIPOQ;ADIPOR2;ALDH2;ANGPT1;APOE;ATP1B3;BAZ2A;BCL2L13;C3;CAT;CCNG2;CD302;CHCHD10;CHUK;COL15A1;COL4A1;COQ3;COQ5;COQ9;COX6A1;COX8A;CPT2;CS;CYC1;DBT;DECR1;DHRS7;DHRS7B;DLAT;DLD;DNAJB9;DNAJC15;DRAM2;ECH1;ECHS1;EPHX2;ESRRA;ESYT1;ETFB;FAH;FZD4;GADD45A;GBE1;GHITM;GPAM;GPX3;GRPEL1;HADH;HSPB8;IDH3A;IFNGR1;ITGA7;JAGN1;LIPE;LPCAT3;LPL;LTC4S;MAP4K3;MCCC1;MDH2;ME1;MGST3;MRPL15;MTCH2;NDUFA5;NDUFAB1;NDUFB7;NKIRAS1;NMT1;PEMT;PEX14;PFKFB3;PGM1;PLIN2;POR;PPP1R15B;PREB;PTCD3;QDPR;REEP5;REEP6;RETSAT;RIOK3;RNF11;SAMM50;SCP2;SDHB;SLC19A1;SLC25A1;SLC25A10;SLC27A1;SNCG;SOD1;STAT5A;SUCLG1;SULT1A1;TALDO1;TANK;TST;UCP2;UQCRC1;UQCRQ;VEGFB;YWHAG,LTC4S;REEP6;PFKFB3;ETFB;MCCC1;VEGFB;REEP5;C3;UCP2;UQCRQ;SULT1A1;POR,COQ9;REEP5;UQCRQ;DECR1;GPX3;ANGPT1;MGST3;LTC4S;PPP1R15B;GRPEL1;QDPR;CD302;TANK;MAP4K3;ADIG;PREB;FZD4;MTCH2;UCP2;ACADL;ESRRA;VEGFB;COX8A;CCNG2;HADH;ME1;COQ3;SUCLG1;PTCD3;RETSAT;EPHX2;POR;MDH2;YWHAG;MRPL15;NDUFA5;STAT5A;LPL;ABCB8;RIOK3;PFKFB3;SLC25A10;DLD;DNAJB9;ACAA2;GPAM;DHRS7B;CHUK;TALDO1;NMT1;ECHS1;GHITM;SNCG;DLAT;ADIPOR2;LPCAT3,DRAM2;VEGFB;YWHAG;DLD;C3;SNCG;PLIN2;ALDH2;DHRS7B;APOE;SDHB;DNAJC15;CPT2;GADD45A;COQ9;IFNGR1;NMT1;SLC27A1;QDPR;UQCRC1;CHCHD10;LPCAT3;CS;NDUFAB1;MCCC1;COX6A1;ATP1B3;ANGPT1;LTC4S;ME1;EPHX2,0.7937198337185245,0.7353392911805988,-1.3562386571135758,9.045946002382307e-18,0.01813367138125547,-0.16951535785508348,-2.0684167148139467
26,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.06504587006724319,-1.8449427292992655,0.36029026956044446,ACTR3;ADCY2;ARHGDIA;ARPC3;ATF1;CALR;CAMK4;CDK4;CDKN1B;CFL1;CLTC;CSNK2B;CXCR4;DAPP1;DUSP3;E2F1;EGFR;FGF17;FGF22;FGF6;GNA14;HSP90B1;ITPR2;MAP2K3;MAP2K6;MYD88;NCK1;NGF;NOD1;PDK1;PFN1;PIKFYVE;PIN1;PLA2G12A;PPP2R1B;PRKAA2;PRKAR2A;PTEN;PTPN11;RAF1;RALB;RIPK1;RIT1;RPS6KA1;SLC2A1;STAT2;THEM4;TIAM1;TNFRSF1A;TRAF2;UBE2N;VAV3,TNFRSF1A;GNA14;RIT1;CSNK2B;NOD1;MAP2K3,CAMK4;ADCY2;THEM4;RIT1;PDK1;E2F1;DUSP3;CFL1;CXCR4;PIKFYVE;NOD1;PLA2G12A;DAPP1;RALB;ACTR3;RIPK1;CSNK2B;EGFR;ITPR2;FGF17;MAP2K6;CLTC;ARHGDIA;MAP2K3;PFN1;PTEN;PPP2R1B;CDKN1B;TNFRSF1A;FGF6;PRKAA2;RAF1;VAV3,CALR;GNA14;ATF1;TNFRSF1A;SLC2A1;ACTR3,0.5380886641070114,0.7085283930501707,-1.0920000052767134,6.523548494161041e-18,0.026465482424518242,-0.033890432182282854,-0.3470771412478656
9,HALLMARK_MYC_TARGETS_V2,0.08006450434676543,-1.750311924792226,0.36029026956044446,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,MAP3K6;IPO4;WDR74;SLC29A2;HK2;NOP16,NOP16;MYC;IMP4;WDR43;SLC29A2;HSPE1;WDR74;AIMP2;NDUFAF4;BYSL;HK2;DUSP2;DDX18;PLK4,PPRC1;DDX18,0.3867763096206452,0.6915609309132564,-0.8788928534192351,0.0003739182710307213,0.01859527466351911,-0.00666907729769563,1.3341943126356266
22,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.07688490974042804,-1.7690537224110807,0.36029026956044446,ATF6;ATP6V0D1;BAG3;CALR;CCL2;CEBPG;CNOT2;CNOT4;CNOT6;DCP1A;DCP2;DDIT4;DDX10;DNAJB9;DNAJC3;EDC4;EDEM1;EEF2;EIF2AK3;EIF2S1;EIF4A2;EIF4A3;EIF4EBP1;ERN1;EXOSC1;EXOSC2;EXOSC4;FKBP14;HSP90B1;HSPA5;HSPA9;IFIT1;KHSRP;KIF5B;LSM4;NFYB;NOLC1;NOP14;PDIA6;PREB;RRP9;SDAD1;SEC11A;SLC7A5;SPCS3;SRPRB;SSR1;STC2;TATDN2;TUBB2A;WIPI1;YIF1A;ZBTB17,BAG3;EDC4;DDIT4;ATP6V0D1;ERN1,EDC4;ATP6V0D1;DCP2;HSPA9;STC2;ATF6;CNOT6,PDIA6;CALR;DDX10;BAG3;EEF2;ATF6;DNAJC3;EIF4A2;IFIT1;DCP2;CNOT2;EXOSC4,0.392043137801364,1.1204561652924132,-1.2357170902573773,3.923874441134012e-18,0.03861702536512202,-0.10875332927218438,-1.2979938301923217
