,Term,combined_pval,combined_z,fdr_bh,matched_genes,rna_lead_genes,cnv_lead_genes,dna_lead_genes,rna_nes,cnv_nes,dna_nes,rna_wcos,cnv_wcos,dna_wcos,mpes
0,HALLMARK_E2F_TARGETS,1.1873577174667347e-10,-6.440940046592772,5.343109728600306e-09,ASF1A;ASF1B;ATAD2;AURKB;BARD1;BRCA2;BRMS1L;BUB1B;CCNB2;CDC20;CDCA3;CDCA8;CDK4;CDKN1B;CENPE;CIT;CKS2;CTCF;DCK;DCLRE1B;DCTPP1;DIAPH3;DONSON;DSCC1;E2F8;EIF2S1;ESPL1;EXOSC8;GINS1;GINS4;HELLS;HUS1;IPO7;KIF18B;KIF22;KIF2C;LIG1;LMNB1;MAD2L1;MCM2;MCM3;MCM5;MCM6;MELK;MSH2;MYBL2;MYC;NAA38;NBN;NCAPD2;NOLC1;NUDT21;NUP107;NUP153;NUP205;PA2G4;PDS5B;PLK1;PLK4;PNN;POLA2;POLD1;POLD3;POLE4;POP7;PPM1D;PRIM2;PTTG1;RAD21;RAN;RANBP1;RFC1;RFC3;RNASEH2A;RPA1;RPA2;RPA3;SLBP;SMC3;SPAG5;SPC24;SPC25;SSRP1;STAG1;STMN1;TACC3;TIMELESS;TK1;TOP2A;TRA2B;TRIP13;TUBB;TUBG1;UBE2S;WDR90;XPO1;XRCC6,SLBP;PA2G4;DCTPP1;CKS2;RFC3;POP7;TUBG1;MAD2L1;BRMS1L;TK1;CIT;DIAPH3;WDR90;GINS1;SPC24;UBE2S;KIF22;BRCA2;NAA38;TIMELESS;SPC25;MYC;SSRP1;PLK4;CDK4;EXOSC8;ASF1B;PTTG1;RNASEH2A;TRIP13;SPAG5;NOLC1;CCNB2;POLD1;E2F8;AURKB;MELK;KIF18B;ESPL1,NOLC1;HELLS;PDS5B;RFC3;EXOSC8;BRCA2;DONSON;SMC3;DIAPH3;MAD2L1;RFC1;SLBP;TACC3;DCK;CENPE;PLK4;BUB1B;CCNB2,BUB1B;RPA2;SPAG5;NBN;DCK;LMNB1;CKS2;TRA2B;SSRP1;NAA38;CDCA8;DIAPH3;BRCA2;POLA2;CCNB2;XRCC6;EXOSC8;IPO7;RAN;NUP107;NUP153;NOLC1;DCTPP1;GINS1;TUBB;PPM1D;TOP2A;POLD3;BARD1;PLK1;RFC3;RFC1;DSCC1;DONSON;RAD21;ASF1B;MCM2;TIMELESS;ATAD2,-2.237088277202435,-1.1581638977448352,-1.4416644192712424,-0.7560103532221911,-0.0790807183253929,-0.41110391762130616,-5.2066843610645845
9,HALLMARK_G2M_CHECKPOINT,1.156054446282688e-09,-6.086222932992215,2.0584792474919246e-08,ABL1;AURKB;BARD1;BCL3;BRCA2;BUB1;CCNA2;CCNB2;CCND1;CCNF;CCNT1;CDC20;CDC6;CDK4;CDKN1B;CENPE;CENPF;CHAF1A;CKS2;CTCF;CUL1;CUL3;CUL5;DBF4;E2F1;E2F2;E2F3;E2F4;EFNA5;EGF;ESPL1;FANCC;GINS2;HIRA;HMGN2;HOXC10;HUS1;KIF11;KIF20B;KIF22;KIF2C;KIF5B;KPNB1;LMNB1;MAD2L1;MARCKS;MCM2;MCM3;MCM5;MCM6;MEIS1;MNAT1;MT2A;MYBL2;MYC;NCL;NEK2;NOLC1;NOTCH2;NUMA1;ODC1;ODF2;PAFAH1B1;PBK;PDS5B;PLK1;PLK4;POLA2;POLQ;PRIM2;PRPF4B;PTTG1;RAD21;RAD23B;RASAL2;RBM14;RPA2;RPS6KA5;SAP30;SFPQ;SLC12A2;SLC7A1;SLC7A5;SMAD3;SMARCC1;SNRPD1;SQLE;STAG1;STMN1;TACC3;TGFB1;TOP1;TOP2A;TRA2B;TRAIP;TROAP;UBE2S;UCK2;UPF1;WRN;XPO1,CKS2;MAD2L1;UCK2;UBE2S;KIF22;CDC6;BRCA2;TRAIP;TOP1;NEK2;MNAT1;E2F1;MYC;PLK4;DBF4;CDK4;PTTG1;TROAP;RAD23B;HIRA;NCL;GINS2;ODC1;NOLC1;CCNB2;SNRPD1;FANCC;AURKB;KIF5B;ESPL1;SLC7A1;CENPF;PLK1;MYBL2;CCNA2;BUB1;PBK;POLQ;LMNB1,KIF5B;NOLC1;SAP30;ODC1;PDS5B;BRCA2;SLC7A1;KIF11;KIF20B;MAD2L1;CCNA2;TACC3;EGF;CENPE;PLK4;SMAD3;CCNB2,KIF11;POLQ;RPA2;E2F1;LMNB1;CKS2;TRA2B;MNAT1;GINS2;BRCA2;KPNB1;ODC1;RAD23B;BUB1;POLA2;MARCKS;CCNB2;KIF20B;NOLC1;E2F2;E2F3;TOP2A;SMARCC1;BARD1;PLK1;PRPF4B;TRAIP;RAD21;CCNA2;TOP1;MCM2;MYBL2;SFPQ;SQLE;HMGN2;MAD2L1,-1.673141147837973,-1.1042500386427656,-1.3346179462630603,-0.5263202656322559,-0.04663246210347344,-0.3079634057137163,-5.187292288842305
16,HALLMARK_FATTY_ACID_METABOLISM,1.3723194983279496e-09,-6.058693084531667,2.0584792474919246e-08,ACAA2;ACADL;ACADS;ACAT2;ACO2;ACOT2;ACSL1;ACSS1;ADIPOR2;ALAD;ALDH9A1;AOC3;AUH;BLVRA;BMPR1B;CA2;CA4;CA6;CBR1;CBR3;CD1D;CEL;CPOX;CPT2;CYP1A1;DECR1;DHCR24;DLD;DLST;ECH1;ECHS1;ELOVL5;ENO2;FABP1;FASN;FH;FMO1;GABARAPL1;GAPDHS;GPD1;GRHPR;HADH;HSD17B11;HSD17B4;HSD17B7;HSDL2;HSP90AA1;HSPH1;IDI1;INMT;LGALS1;LTC4S;MDH1;MDH2;ME1;METAP1;MIF;MLYCD;NBN;NTHL1;ODC1;OSTC;PCBD1;PDHB;PRDX6;PTPRG;PTS;RDH11;RDH16;REEP6;RETSAT;S100A10;SDHD;SERINC1;SLC22A5;SUCLA2;SUCLG1;SUCLG2;TDO2;TP53INP2;UGDH;UROD;UROS;VNN1;YWHAH,PCBD1;SUCLA2;SLC22A5;HSDL2;HSD17B4;MIF;FASN;HSPH1;HSP90AA1;CBR1;MDH2;HADH;DLD;MLYCD;SUCLG1;AUH;PRDX6;SUCLG2;GAPDHS;CA4;ECHS1;ACADS;METAP1;ODC1;BLVRA;REEP6;ACSS1;ECH1;ACAA2;UGDH,ACSL1;PCBD1;ODC1;IDI1;ECHS1;HSPH1;CBR3;CBR1;SUCLA2;UROS;UGDH;METAP1;HSD17B11;BMPR1B;OSTC;HADH;ACAA2;TDO2;CYP1A1,NBN;GAPDHS;LGALS1;CBR3;LTC4S;ACAA2;DECR1;CA6;ODC1;PCBD1;ALDH9A1;OSTC;MDH2;ECH1;TP53INP2,-1.2864548158658922,-1.2670329205152158,-1.0267211714576496,-0.33322899767128455,-0.19150248515050022,-0.044916211188794596,-5.588134741755608
1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.1544821760253437e-08,-5.599115504937756,2.4237924480285117e-07,ACAA2;ACADSB;ACAT1;ACO2;AFG3L2;ALDH6A1;ATP6V0C;ATP6V0E1;ATP6V1D;ATP6V1F;ATP6V1G1;COX10;COX17;COX4I1;COX5A;COX5B;COX6A1;COX6B1;COX6C;COX7C;COX8A;CS;CYB5R3;CYC1;DECR1;DLAT;DLD;DLST;ECH1;ECHS1;ETFB;FDX1;FH;GLUD1;GOT2;GPI;GRPEL1;HSPA9;IDH2;IDH3A;ISCA1;LDHB;LRPPRC;MDH1;MDH2;MGST3;MRPL15;MRPL34;MRPS15;MRPS22;MRPS30;MTRF1;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA9;NDUFAB1;NDUFB1;NDUFB2;NDUFB5;NDUFB7;NDUFB8;NDUFC1;NDUFC2;NDUFS4;NDUFS6;NDUFS7;NDUFS8;NDUFV2;NQO2;OAT;OXA1L;PDHB;PDK4;PMPCA;POLR2F;POR;RETSAT;RHOT2;SDHB;SDHD;SLC25A12;SLC25A20;SLC25A4;SUCLA2;SUCLG1;SUPV3L1;SURF1;TIMM10;TIMM13;TIMM17A;TIMM50;TOMM22;UQCRB;UQCRC1;UQCRC2;UQCRFS1;UQCRH;UQCRQ;VDAC1;VDAC2,SURF1;NDUFC1;ATP6V1F;NDUFA3;NDUFB8;UQCRC1;GOT2;COX5A;GPI;NDUFA4;COX7C;PMPCA;COX6A1;TIMM10;MRPS30;UQCRQ;NDUFS8;NDUFB1;SUCLA2;NDUFB2;TIMM50;ETFB;GRPEL1;MTRF1;NDUFA5;POR;COX4I1;NDUFAB1;LRPPRC;HSPA9;MDH2;SLC25A4;CYC1;COX8A;COX5B;VDAC1;NDUFS4;MRPL15;DLD;SUCLG1;COX10;TIMM17A;SDHB;TIMM13;MRPS15;ECHS1;IDH2;FDX1;COX17;SUPV3L1;ATP6V1D;COX6C;CS;VDAC2;RHOT2;IDH3A;MRPL34;NDUFA7;UQCRFS1;ECH1;ACAA2;OXA1L;COX6B1;DLST;ISCA1;UQCRB;MGST3;ALDH6A1;ACADSB,NDUFB8;SLC25A4;VDAC2;SUPV3L1;OAT;ECHS1;ACADSB;GLUD1;SUCLA2;MTRF1;GRPEL1;NDUFC1;ACAA2;IDH3A;COX5A;IDH2,NDUFB5;COX4I1;NDUFA3;COX7C;COX6B1;CYC1;MRPS30;ACAA2;DECR1;NDUFA7;HSPA9;ACADSB;GOT2;UQCRB;GPI;MDH2;ECH1;ATP6V1G1;SUPV3L1;ATP6V1F;NDUFB8;CS;UQCRC2;OAT;TIMM50;NDUFV2;COX8A;COX5A;SURF1;NDUFA4,-3.599968695299673,-1.0561371805486035,-1.2297965311363703,-1.845939706931784,-0.02883007803287264,-0.17953893529295864,-2.8809671495608424
3,HALLMARK_MYC_TARGETS_V2,1.0627392757777427e-07,-5.315655705957545,9.564653481999685e-07,AIMP2;BYSL;CDK4;DCTPP1;DDX18;DUSP2;FARSA;GRWD1;HK2;HSPE1;IMP4;IPO4;MAP3K6;MCM5;MRTO4;MYC;NDUFAF4;NOC4L;NOLC1;NOP16;PA2G4;PES1;PLK1;PLK4;PPRC1;RCL1;RRP9;SLC19A1;SLC29A2;SORD;SRM;SUPV3L1;TMEM97;UTP20;WDR43;WDR74,HSPE1;PA2G4;TMEM97;NOP16;SLC29A2;DCTPP1;RRP9;SLC19A1;MRTO4;GRWD1;IMP4;NDUFAF4;HK2;SRM;IPO4;FARSA;MYC;SUPV3L1;PLK4;CDK4;AIMP2;NOLC1;WDR74;UTP20,PPRC1;NOLC1;SLC19A1;SUPV3L1;PLK4;SORD,IPO4;DDX18;SUPV3L1;DUSP2;NOLC1;DCTPP1;MRTO4;NOC4L;PLK1;WDR43;RRP9;PPRC1,-2.882870392814437,-1.126991590649352,-1.0950196556349678,-1.4726440666459408,-0.0579092305346047,-0.10066524320848028,-2.866633204621919
2,HALLMARK_MYC_TARGETS_V1,3.056930239056243e-07,-5.1199028928643795,2.2926976792921826e-06,AIMP2;AP3S1;C1QBP;CAD;CCNA2;CCT2;CCT4;CCT5;CDC20;CDK4;CLNS1A;COPS5;COX5A;CUL1;CYC1;DDX18;DDX21;DHX15;EIF2S1;EIF2S2;EIF3D;EIF3J;ERH;ETF1;EXOSC7;FAM120A;FBL;GLO1;GOT2;HDAC2;HDDC2;HNRNPA3;HSP90AB1;HSPE1;ILF2;IMPDH2;KPNB1;LSM2;LSM7;MAD2L1;MCM2;MCM5;MCM6;MRPL23;MRPS18B;MYC;NDUFAB1;NOLC1;NOP16;ODC1;PA2G4;PABPC1;PPIA;PRPF31;PSMA1;PSMA2;PSMA6;PSMA7;PSMB2;PSMB3;PSMC6;PSMD1;PSMD14;PSMD3;PSMD7;PSMD8;PTGES3;PWP1;RAD23B;RAN;RANBP1;RPL18;RPL22;RPS10;RPS3;RPS6;RRM1;RRP9;RSL1D1;RUVBL2;SET;SF3B3;SMARCC1;SNRPA;SNRPA1;SNRPD1;SNRPD3;SNRPG;SRM;SRPK1;SSBP1;STARD7;TRA2B;TUFM;TYMS;UBA2;VDAC1;XPO1;XRCC6;YWHAQ,EXOSC7;GOT2;COX5A;HSPE1;PA2G4;NOP16;RUVBL2;PTGES3;TUFM;SSBP1;PSMA2;NDUFAB1;RRP9;PSMD14;CYC1;MAD2L1;HSP90AB1;PRPF31;VDAC1;C1QBP;IMPDH2;PPIA;SNRPA;ERH;SRM;COPS5;DDX21;MYC;RPL18;CDK4;AIMP2;UBA2;RAD23B;ODC1;FBL;FAM120A;NOLC1;PSMA7;SNRPD1;CCT2;RSL1D1;EIF2S2,NOLC1;YWHAQ;DDX21;ODC1;DHX15;MAD2L1;CCNA2;COX5A;EIF3J;SNRPA1,TRA2B;CLNS1A;CYC1;KPNB1;ODC1;TYMS;RAD23B;PSMB2;GOT2;CAD;FBL;CCT2;XRCC6;PSMD3;DHX15;DDX18;RAN;PTGES3;RSL1D1;SET;NOLC1;PPIA;C1QBP;SNRPG;CCT4;SMARCC1;PSMA6;SNRPA1;TUFM;HSP90AB1;COX5A;COPS5;RRP9;CCNA2;SRPK1;PSMA2;MCM2;MRPS18B;RPS3;ERH;DDX21;RPL22;MAD2L1,-2.839440842416637,-0.7866959209438377,-1.4401227093017328,-0.9956694429324799,-0.0017260353735311464,-0.4429883502548676,-4.090288324031397
7,HALLMARK_MTORC1_SIGNALING,9.033287446966574e-07,-4.911607206826945,5.8071133587642255e-06,ABCF2;ACTR3;ADIPOR2;ARPC5L;ATP6V1D;BCAT1;BHLHE40;BTG2;BUB1;CALR;CCNF;CD9;COPS5;CORO1A;CTSC;CXCR4;CYB5B;DAPP1;DDIT4;DHCR24;EDEM1;EGLN3;EIF2S2;ELOVL5;ENO1;ETF1;FADS1;FADS2;GAPDH;GBE1;GCLC;GGA2;GMPS;GOT1;GPI;GSR;HK2;HMBS;HSP90B1;HSPA4;HSPA5;HSPA9;HSPE1;IDI1;IFI30;IGFBP5;LDLR;LTA4H;MAP2K3;MCM2;ME1;MLLT11;MTHFD2L;NAMPT;NMT1;NUFIP1;NUP205;PDAP1;PDK1;PGM1;PHGDH;PITPNB;PLK1;PNO1;PNP;POLR3G;PPA1;PPIA;PPP1R15A;PSMC2;PSMC6;PSMD14;QDPR;RDH11;RIT1;RPA1;RPN1;RRP9;SCD;SDF2L1;SEC11A;SERPINH1;SKAP2;SLC2A1;SLC7A11;SLC7A5;SLC9A3R1;SORD;SQLE;SRD5A1;SSR1;STARD4;STC1;STIP1;TES;TM7SF2;TMEM97;TUBA4A;TUBG1;TXNRD1;UCHL5;UFM1;USO1;YKT6,MTHFD2L;GPI;HSPE1;NUFIP1;GOT1;TMEM97;ABCF2;UFM1;RRP9;PSMD14;HSPA9;TUBG1;HSPA4;PPA1;HMBS;PPIA;SDF2L1;TM7SF2;HK2;HSP90B1;NAMPT;DDIT4;HSPA5;COPS5;ATP6V1D;BCAT1;SLC9A3R1;UCHL5;PDAP1;ENO1;CTSC;FADS1;CYB5B;SEC11A;EIF2S2;GSR;LTA4H;STC1;PLK1;FADS2;PSMC2;BUB1;POLR3G;SLC7A11;GCLC;STIP1;SORD;PNO1;PHGDH;CCNF,SCD;GOT1;PPA1;DDIT4;IDI1;UFM1;NUFIP1;QDPR;MTHFD2L;USO1;DAPP1;SLC7A11;SORD;SEC11A,YKT6;MAP2K3;DAPP1;PDK1;CORO1A;HSPA9;PPA1;BUB1;HSPA5;EDEM1;UFM1;BTG2;IFI30;FADS1;GPI;UCHL5;ARPC5L;SLC7A11;TUBA4A;PPIA;PNO1;STIP1;LDLR;PLK1;ME1;COPS5;RRP9;CYB5B;MCM2;GAPDH;SQLE;NUFIP1,-1.7634999916564125,-0.967124751671722,-1.1161140186460194,-0.6750515157489568,-0.020354571097220397,-0.10564201448578762,-3.1827718286634257
4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.822258897359497e-06,4.772198372153169,1.0250206297647171e-05,ABI3BP;ANPEP;AREG;BASP1;BMP1;CAP2;CAPG;CDH11;CDH2;CDH6;COL16A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL5A1;COL5A2;COL5A3;COL6A2;COL7A1;COL8A2;COMP;CRLF1;CTHRC1;CXCL1;CXCL6;DAB2;DKK1;DPYSL3;DST;EDIL3;EFEMP2;EMP3;ENO2;FAP;FBLN5;FBN1;FBN2;FGF2;FMOD;FSTL1;FSTL3;FUCA1;GADD45A;GADD45B;GLIPR1;GPC1;GPX7;GREM1;HTRA1;ID2;IGFBP2;IGFBP4;IL6;INHBA;ITGA2;ITGA5;ITGB3;ITGB5;LAMA1;LAMC1;LGALS1;LOX;LOXL1;LOXL2;LRP1;LUM;MATN3;MFAP5;MGP;MMP14;MMP2;MSX1;NID2;NOTCH2;NT5E;NTM;OXTR;PCOLCE;PCOLCE2;PDGFRB;PLOD1;PLOD3;PPIB;SCG2;SDC4;SERPINH1;SFRP1;SFRP4;SGCB;SGCG;SLIT2;SLIT3;SNAI2;SNTB1;SPARC;SPOCK1;TFPI2;TGFB1;TGFBI;TGFBR3;THBS1;THBS2;THY1;TNC;TNFAIP3;TNFRSF11B;TNFRSF12A;TPM4;VEGFC;VIM;WNT5A,PCOLCE;GLIPR1;FAP;MFAP5;CDH2;MMP14;SFRP4;SPOCK1;ITGB5;ABI3BP;SCG2;INHBA;LOXL1;MMP2;OXTR;LUM;PDGFRB;COL6A2;THBS1;COL1A2;COL1A1;THY1;FGF2;COL3A1;COL5A3;COL5A2;COL8A2;FBN1;EMP3;LGALS1;TNFAIP3;SFRP1;CTHRC1;FBLN5;ITGA5;CAP2;IGFBP4;LRP1;NOTCH2;DPYSL3;TPM4;COL16A1;TGFB1;DST;FSTL1;COL5A1,DKK1;COL6A2;VEGFC;ID2;FBN1;HTRA1;SGCG;VIM;SLIT2;SGCB;THBS1;MSX1;AREG;CXCL1;FGF2;CXCL6;LOXL1;GREM1;ANPEP;PPIB,ITGB3;PPIB;GADD45A;COL5A2;LGALS1;WNT5A;THY1;ID2;BMP1;GADD45B;INHBA;VEGFC;COL1A1;LOXL1;PDGFRB;MFAP5;TNFAIP3;LUM;MMP14;LRP1;TNC;DST;COL5A1;GPX7;GPC1,2.0090108696319966,-1.032031670909613,-0.9446548860117326,0.6861101266247622,-0.01836930366177855,-0.01664294068083375,2.2666531459173656
19,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4.20243848217639e-06,-4.601110773752291,2.1012192410881947e-05,ATF6;ATP6V0D1;BAG3;CALR;CCL2;CEBPG;CNOT2;CNOT4;CNOT6;DCP1A;DCP2;DDIT4;DDX10;DNAJB9;DNAJC3;EDC4;EDEM1;EEF2;EIF2AK3;EIF2S1;EIF4A2;EIF4A3;EIF4EBP1;ERN1;EXOSC1;EXOSC2;EXOSC4;FKBP14;HSP90B1;HSPA5;HSPA9;IFIT1;KHSRP;KIF5B;LSM4;NFYB;NOLC1;NOP14;PDIA6;PREB;RRP9;SDAD1;SEC11A;SLC7A5;SPCS3;SRPRB;SSR1;STC2;TATDN2;TUBB2A;WIPI1;YIF1A;ZBTB17,RRP9;HSPA9;DNAJB9;PDIA6;HSP90B1;EXOSC1;DDIT4;HSPA5;EXOSC2;NOLC1;KIF5B;SEC11A;EXOSC4;ATP6V0D1;BAG3;EIF4A3;NOP14;SPCS3,KIF5B;NOLC1;EXOSC1;SPCS3;DDIT4;BAG3;IFIT1;NOP14;SDAD1;SEC11A,DCP2;HSPA9;SDAD1;HSPA5;EDEM1;ERN1;YIF1A;TUBB2A;NOLC1;EXOSC4;STC2;RRP9;EIF4A2,-1.3001134652130564,-1.1735974571197998,-0.7417137585838661,-0.31829638175812647,-0.08334414817952854,-0.0005022825699274924,-3.4498429446101238
10,HALLMARK_COAGULATION,1.4487510182908485e-05,4.336339533475618,5.9825663996837044e-05,A2M;ACOX2;ANXA1;APOA1;APOC1;APOC2;APOC3;ARF4;BMP1;C1QA;C1R;C3;C8A;C8B;C8G;CAPN2;CAPN5;CD9;CFB;CFD;CFH;CFI;COMP;CPN1;CRIP2;CTSK;CTSO;DPP4;DUSP14;F10;F11;F12;F13B;F2;F3;FBN1;FGA;FURIN;GDA;GNB2;GNG12;GP1BA;GP9;HTRA1;ITGA2;ITGB3;KLF7;KLKB1;LEFTY2;LRP1;LTA4H;MASP2;MMP10;MMP11;MMP14;MMP15;MMP2;MMP7;MMP8;MMP9;MSRB2;OLR1;PDGFB;PEF1;PF4;PLEK;PREP;PROC;PROZ;PRSS23;RABIF;SERPINC1;SH2B2;SPARC;TF;TFPI2;THBS1;TMPRSS6;VWF,GP1BA;CTSK;MMP10;MMP14;C1R;PDGFB;MMP2;MMP11;THBS1;PROC;MMP9;DUSP14;C3;FBN1;MMP7;KLKB1;LRP1;PREP;CFD;CAPN2;VWF;GNG12,CPN1;MSRB2;KLKB1;F11;FBN1;HTRA1;CRIP2;THBS1;PF4;CFI;FGA;CTSO;FURIN,ITGB3;CTSO;PLEK;FGA;PRSS23;CAPN5;KLKB1;OLR1;BMP1;GP9;CPN1;FURIN;F11;CRIP2;ACOX2;APOC2;C8B;CFI;APOC3;MMP14;LRP1;F10;RABIF;KLF7;VWF,1.5226649235936809,-0.9892946236517955,-1.163355126924542,0.3566478835108199,-0.021715564468147725,-0.13953374789541534,1.0659387033813887
