,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_E2F_TARGETS,0.0,0.6335968544158422,2.1155815285291246,0.0,WDR90;MYBL2;PLK1;DCTPP1;CDK4;ASF1B;LIG1;MCM5;HELLS;RFC3;RANBP1;MCM3;E2F8;SLBP;DIAPH3;UBE2S;EXOSC8;CDCA8;POP7;TUBG1;MAD2L1;PRIM2;BRCA2;HUS1;RAN;ESPL1;SSRP1;MCM6;TIMELESS;MCM2;NUP205;PA2G4;KIF18B;NOLC1;SPC25;KIF2C;LMNB1;NCAPD2;TACC3;POLA2;POLD1;CDCA3;POLD3;CDKN1B;TOP2A;CDC20;KIF22;SPC24;PLK4;MELK;XRCC6;SPAG5;CENPE;TK1;CKS2;IPO7;MYC;DCLRE1B;AURKB;PTTG1;DSCC1;RPA3;CTCF;NUDT21;CCNB2;DCK;MSH2;DONSON;BUB1B;RPA1;SMC3;RFC1;BARD1;ATAD2;GINS4;TRA2B;XPO1;PDS5B;TRIP13;CIT;RNASEH2A;RPA2;NAA38;STAG1;NUP107;POLE4;STMN1;PPM1D;RAD21;PNN;NBN;GINS1;ASF1A;TUBB;NUP153;EIF2S1;BRMS1L,29.04%,WDR90;MYBL2;PLK1;DCTPP1;CDK4;ASF1B;LIG1;MCM5;HELLS;RFC3;RANBP1;MCM3;E2F8;SLBP;DIAPH3;UBE2S;EXOSC8;CDCA8;POP7;TUBG1;MAD2L1;PRIM2;BRCA2;HUS1;RAN;ESPL1;SSRP1;MCM6;TIMELESS;MCM2;NUP205;PA2G4;KIF18B;NOLC1;SPC25;KIF2C;LMNB1;NCAPD2;TACC3;POLA2;POLD1;CDCA3;POLD3;CDKN1B;TOP2A;CDC20;KIF22;SPC24;PLK4;MELK;XRCC6;SPAG5;CENPE;TK1;CKS2;IPO7;MYC;DCLRE1B;AURKB;PTTG1;DSCC1;RPA3;CTCF;NUDT21;CCNB2;DCK;MSH2;DONSON;BUB1B;RPA1;SMC3;RFC1;BARD1,73/97
1,HALLMARK_MYC_TARGETS_V1,0.0,0.6069225757443626,2.013607326270145,0.0,SRPK1;EIF2S2;PSMA7;FAM120A;VDAC1;TUFM;CCNA2;CDK4;PSMD7;RRP9;MCM5;ODC1;RANBP1;C1QBP;NDUFAB1;RRM1;RUVBL2;MAD2L1;PSMD3;AIMP2;RAN;HSP90AB1;HSPE1;CAD;PTGES3;DDX21;PPIA;CUL1;MCM6;SF3B3;PABPC1;MCM2;GOT2;DHX15;PA2G4;NOLC1;PSMB2;DDX18;SSBP1;LSM7;CDC20;PSMD14;NOP16;CCT5;SMARCC1;XRCC6;AP3S1;PSMA6;RPL18;SRM;MYC;RPS6;RSL1D1;CYC1;GLO1;PSMD1;CCT4;SNRPD3;SNRPA;KPNB1;RPS3;RAD23B;PWP1;COPS5;SNRPA1;CLNS1A;SET;CCT2;UBA2;PSMA2;PRPF31;TRA2B;PSMB3;XPO1;RPL22;ETF1;PSMA1;EIF3D;SNRPG;HNRNPA3;TYMS;RPS10;FBL;IMPDH2;STARD7;LSM2;PSMD8;COX5A;MRPL23;EIF3J;YWHAQ;EXOSC7;ILF2;MRPS18B;SNRPD1;HDAC2;PSMC6;EIF2S1;HDDC2;ERH,29.24%,SRPK1;EIF2S2;PSMA7;FAM120A;VDAC1;TUFM;CCNA2;CDK4;PSMD7;RRP9;MCM5;ODC1;RANBP1;C1QBP;NDUFAB1;RRM1;RUVBL2;MAD2L1;PSMD3;AIMP2;RAN;HSP90AB1;HSPE1;CAD;PTGES3;DDX21;PPIA;CUL1;MCM6;SF3B3;PABPC1;MCM2;GOT2;DHX15;PA2G4;NOLC1;PSMB2;DDX18;SSBP1;LSM7;CDC20;PSMD14;NOP16;CCT5;SMARCC1;XRCC6;AP3S1;PSMA6;RPL18;SRM;MYC;RPS6;RSL1D1;CYC1;GLO1;PSMD1;CCT4;SNRPD3;SNRPA;KPNB1;RPS3;RAD23B;PWP1;COPS5;SNRPA1;CLNS1A;SET;CCT2;UBA2,69/100
2,HALLMARK_G2M_CHECKPOINT,0.0,0.612320368212855,2.0242041341952297,0.0,SLC7A1;GINS2;KIF5B;E2F4;SLC7A5;SLC12A2;E2F1;MYBL2;PLK1;CCNA2;CCNF;CDK4;MCM5;RBM14;ODC1;CDC6;MCM3;UBE2S;CHAF1A;MAD2L1;PRIM2;BRCA2;HUS1;E2F2;NEK2;KIF20B;ESPL1;CUL1;DBF4;PBK;UPF1;MCM6;MCM2;FANCC;TOP1;NOLC1;KIF2C;LMNB1;TACC3;POLA2;BUB1;KIF11;CDKN1B;TOP2A;CDC20;KIF22;ABL1;PLK4;ODF2;HMGN2;TRAIP;SMARCC1;CUL3;TROAP;CENPE;CKS2;POLQ;CENPF;MYC;AURKB;UCK2;HIRA;PTTG1;PRPF4B;NCL;KPNB1;RAD23B;CTCF;CCNB2;RASAL2;BARD1;NUMA1;SAP30;TRA2B;XPO1;SFPQ;PDS5B;CCND1;RPA2;STAG1;BCL3;STMN1;MEIS1;CCNT1;RAD21;PAFAH1B1;TGFB1;RPS6KA5;SQLE;MARCKS;SNRPD1;WRN;CUL5;NOTCH2;E2F3;EFNA5;SMAD3;MT2A;EGF;HOXC10;MNAT1,23.46%,SLC7A1;GINS2;KIF5B;E2F4;SLC7A5;SLC12A2;E2F1;MYBL2;PLK1;CCNA2;CCNF;CDK4;MCM5;RBM14;ODC1;CDC6;MCM3;UBE2S;CHAF1A;MAD2L1;PRIM2;BRCA2;HUS1;E2F2;NEK2;KIF20B;ESPL1;CUL1;DBF4;PBK;UPF1;MCM6;MCM2;FANCC;TOP1;NOLC1;KIF2C;LMNB1;TACC3;POLA2;BUB1;KIF11;CDKN1B;TOP2A;CDC20;KIF22;ABL1;PLK4;ODF2;HMGN2;TRAIP;SMARCC1;CUL3;TROAP;CENPE;CKS2;POLQ;CENPF;MYC;AURKB;UCK2;HIRA;PTTG1;PRPF4B;NCL,65/101
3,HALLMARK_MYC_TARGETS_V2,0.0,0.7031793187234191,2.0984638935361897,0.0,PLK1;DCTPP1;CDK4;RRP9;NOC4L;MCM5;HK2;SLC29A2;TMEM97;WDR74;AIMP2;HSPE1;SUPV3L1;BYSL;PA2G4;NOLC1;RCL1;FARSA;DDX18;PPRC1;SLC19A1;NOP16;PLK4;IMP4;MRTO4;PES1;SRM;MYC;NDUFAF4;WDR43;GRWD1;SORD;UTP20;IPO4;DUSP2;MAP3K6,23.42%,PLK1;DCTPP1;CDK4;RRP9;NOC4L;MCM5;HK2;SLC29A2;TMEM97;WDR74;AIMP2;HSPE1;SUPV3L1;BYSL;PA2G4;NOLC1;RCL1;FARSA;DDX18;PPRC1;SLC19A1;NOP16;PLK4;IMP4;MRTO4;PES1;SRM;MYC;NDUFAF4;WDR43,30/36
4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0005511827463097898,0.5593294742458841,1.8569603514162139,0.0,UQCRC1;MDH2;UQCRQ;RHOT2;NDUFA3;PMPCA;VDAC1;POR;COX10;NQO2;COX5B;ECHS1;VDAC2;SLC25A20;NDUFS7;NDUFAB1;MRPS22;TOMM22;COX8A;HSPA9;TIMM10;ETFB;GOT2;SUPV3L1;SDHB;GRPEL1;FH;LRPPRC;NDUFB2;MTRF1;DLD;GPI;ACO2;COX17;ECH1;SUCLG1;SUCLA2;POLR2F;TIMM13;ATP6V1F;MRPS15;CS;CYB5R3;CYC1;NDUFS8;RETSAT;UQCRC2;NDUFC1;GLUD1;MRPL34;ACAA2;NDUFA9;IDH2;PDHB;COX4I1;COX7C;MRPS30;OAT;UQCRH;TIMM50;UQCRFS1;DLAT;NDUFB8;NDUFA4;FDX1;COX6A1;NDUFC2;COX6B1;NDUFS4;NDUFB7;IDH3A;ATP6V0C;SURF1;NDUFS6;MRPL15;COX5A;NDUFA6;ATP6V1G1;ATP6V0E1;ACADSB;DECR1;LDHB;MGST3;NDUFB5;TIMM17A;SDHD;MDH1;PDK4;SLC25A4;OXA1L;ALDH6A1;ACAT1;SLC25A12;NDUFA5;AFG3L2;COX6C;ISCA1;DLST;UQCRB;NDUFV2;ATP6V1D;NDUFB1;NDUFA7,28.99%,UQCRC1;MDH2;UQCRQ;RHOT2;NDUFA3;PMPCA;VDAC1;POR;COX10;NQO2;COX5B;ECHS1;VDAC2;SLC25A20;NDUFS7;NDUFAB1;MRPS22;TOMM22;COX8A;HSPA9;TIMM10;ETFB;GOT2;SUPV3L1;SDHB;GRPEL1;FH;LRPPRC;NDUFB2;MTRF1;DLD;GPI;ACO2;COX17;ECH1;SUCLG1;SUCLA2;POLR2F;TIMM13;ATP6V1F;MRPS15;CS;CYB5R3;CYC1;NDUFS8;RETSAT;UQCRC2;NDUFC1;GLUD1;MRPL34;ACAA2;NDUFA9;IDH2;PDHB;COX4I1;COX7C;MRPS30;OAT;UQCRH,59/103
5,HALLMARK_GLYCOLYSIS,0.014085781294583516,0.5058998961717154,1.660685035015328,0.0,ALDOB;TGFBI;CAPN5;TFF3;GAL3ST1;B3GNT3;MDH2;GFPT1;PMM2;STC2;GCLC;SLC25A10;EFNA3;B4GALT7;ADORA2B;PAXIP1;ALG1;ABCB6;GALK1;GNPDA1;ME1;HK2;PGM2;GUSB;GLCE;PPIA;SLC35A3;GOT2;FKBP4;DLD;PGLS;SOX9;TXN;PGAM1;SOD1;XYLT2;GAPDHS;PYGB;KIF20A;COL5A1;MIF;IER3;TALDO1;IRS2;CHPF;LCT;NOL3;NDST3;SAP30;FBP2;DPYSL4;DDIT4;B3GAT3;MXI1;ENO1;CHPF2;BIK;PFKP;CLN6;GPC1;CHST12;STMN1;SDC3;FAM162A;NT5E;SPAG4;GOT1;HOMER1;EGLN3;EXT1;MDH1;HSPA5;MERTK;ALDH9A1;SRD5A3;PLOD1;STC1;LHX9;CHST1;ALDH7A1;EGFR;GNE;CHST6;B4GALT1;ENO2;SDC2;CHST2;PPFIA4;NANP;RRAGD;MPI;CXCR4;ISG20;ZNF292;ARPP19;TPST1,22.15%,ALDOB;TGFBI;CAPN5;TFF3;GAL3ST1;B3GNT3;MDH2;GFPT1;PMM2;STC2;GCLC;SLC25A10;EFNA3;B4GALT7;ADORA2B;PAXIP1;ALG1;ABCB6;GALK1;GNPDA1;ME1;HK2;PGM2;GUSB;GLCE;PPIA;SLC35A3;GOT2;FKBP4;DLD;PGLS;SOX9;TXN;PGAM1;SOD1;XYLT2;GAPDHS;PYGB;KIF20A;COL5A1,40/96
6,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.02874024320043904,0.5025141910481529,1.5871008048843736,0.0041841004184100415,KIF5B;SLC7A5;STC2;KHSRP;RRP9;NOP14;LSM4;EXOSC2;PREB;HSPA9;EDC4;CEBPG;NOLC1;EIF4A3;EXOSC1;DDX10;ATP6V0D1;SDAD1;ERN1;CNOT4;EEF2;YIF1A;SRPRB;TATDN2;DDIT4;DCP1A;SSR1;SPCS3;PDIA6;WIPI1;CNOT6;DCP2;EIF4A2;EIF4EBP1;ATF6;NFYB;HSP90B1;CNOT2;EXOSC4;DNAJC3;BAG3;EDEM1;CALR;HSPA5;TUBB2A;DNAJB9;ZBTB17;IFIT1;FKBP14;CCL2;EIF2AK3;EIF2S1;SEC11A,25.42%,KIF5B;SLC7A5;STC2;KHSRP;RRP9;NOP14;LSM4;EXOSC2;PREB;HSPA9;EDC4;CEBPG;NOLC1;EIF4A3;EXOSC1;DDX10;ATP6V0D1;SDAD1;ERN1;CNOT4;EEF2,21/53
7,HALLMARK_NOTCH_SIGNALING,0.049790174749984345,0.5625506485255276,1.5070259881232952,0.04060324825986079,LFNG;FZD5;PRKCA;NOTCH1;KAT2A;CUL1;WNT5A;SAP30;CCND1;DTX4;HEYL;HES1;NOTCH3;JAG1;DLL1;MAML2;RBX1;NOTCH2;DTX1;ST3GAL6,16.02%,LFNG;FZD5;PRKCA;NOTCH1;KAT2A;CUL1;WNT5A,7/20
8,HALLMARK_MITOTIC_SPINDLE,0.051239581231021195,0.45908948026392254,1.512836190734908,0.0020181634712411706,SHROOM1;KIF5B;KIF3B;TUBA4A;MAPRE1;RHOT2;PLK1;KATNB1;ACTN4;CEP250;ARHGDIA;ANLN;MAP3K11;NET1;TUBGCP3;TUBGCP2;RHOF;BRCA2;ECT2;NEK2;KIF20B;ESPL1;CENPJ;KIF2C;LMNB1;LRPPRC;TRIO;CD2AP;TBCD;BUB1;LLGL1;KIF11;TOP2A;KIF22;ABL1;FARP1;MYO1E;SAC3D1;MAP1S;MYH9;CENPE;WASL;CENPF;DYNC1H1;DYNLL2;CEP57;TAOK2;RAPGEF5;CCNB2;RASAL2;ALMS1;SMC3;RFC1;STK38L;NUMA1;KNTC1;CAPZB;PCGF5;SASS6;SPTBN1;CDC42EP1;PPP4R2;WASF2;ARFGEF1;RAB3GAP1;ARAP3;RANBP9;PIF1;MARK4;SYNPO;RABGAP1;SSH2;FGD6;LATS1;ARHGEF12;KIF1B;RASA2;TUBD1;PAFAH1B1;CDC42EP4;ARHGEF3;ARL8A;FGD4;MARCKS;SOS1;DST;KIFAP3;CDC42EP2;PKD2;KIF3C;CEP192;NCK1;MYH10;NOTCH2;DOCK2;PCM1;FSCN1;PLEKHG2;ROCK1;PREX1;KPTN;ARHGAP10;ARHGAP29;RICTOR;HOOK3;NEDD9;DOCK4;TIAM1,23.64%,SHROOM1;KIF5B;KIF3B;TUBA4A;MAPRE1;RHOT2;PLK1;KATNB1;ACTN4;CEP250;ARHGDIA;ANLN;MAP3K11;NET1;TUBGCP3;TUBGCP2;RHOF;BRCA2;ECT2;NEK2;KIF20B;ESPL1;CENPJ;KIF2C;LMNB1;LRPPRC;TRIO;CD2AP;TBCD;BUB1;LLGL1;KIF11;TOP2A;KIF22;ABL1;FARP1;MYO1E;SAC3D1;MAP1S;MYH9;CENPE;WASL;CENPF;DYNC1H1;DYNLL2;CEP57,46/108
9,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0548886151533499,0.5646175919717661,1.5181145678236079,0.03944315545243619,NKD1;AXIN2;DKK4;CCND2;NOTCH1;KAT2A;CUL1;DVL2;MYC;MAML1;NOTCH4;ADAM17;JAG1;NCSTN;HEY2;DLL1;DKK1;WNT1;HDAC2;GNAI1;WNT6,13.30%,NKD1;AXIN2;DKK4;CCND2;NOTCH1;KAT2A;CUL1,7/21
