,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_BILE_ACID_METABOLISM,0.1312315775983596,0.47682085089829607,1.6317023151122696,0.0,CYP39A1;HSD17B11;EPHX2;SULT2B1;PEX7;NUDT12;RXRA;SCP2;NPC1;ABCA8;PEX6;HSD17B6;PEX1;PNPLA8;SLC35B2;FADS2;ABCG8;CYP7B1;PIPOX;CYP46A1;HSD17B4;ABCD2;NR1H4;CAT;LIPE;PEX11A;BCAR3;TFCP2L1;IDH2;ISOC1;ALDH9A1;GNMT;DHCR24;RBP1;PEX11G;TTR;PFKM;EFHC1;HACL1;KLF1;SOD1;ABCA3;AGXT;ABCA1;NR0B2;CYP27A1;IDI1;AKR1D1;SERPINA6;ABCA4;BBOX1;LONP2;HAO1;ACSL1;MLYCD;PEX12;HSD3B1;BMP6;GC;APOA1;RETSAT;GCLM;FADS1;NEDD4;SOAT2,26.24%,CYP39A1;HSD17B11;EPHX2;SULT2B1;PEX7;NUDT12;RXRA;SCP2;NPC1;ABCA8;PEX6;HSD17B6;PEX1;PNPLA8;SLC35B2;FADS2;ABCG8;CYP7B1;PIPOX;CYP46A1;HSD17B4;ABCD2;NR1H4;CAT;LIPE;PEX11A;BCAR3;TFCP2L1,28/65
1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.19633474304754583,0.4658542448839018,1.5302349583542971,0.007633587786259542,DUSP3;PRKAR2A;MAP2K6;ATF1;PTPN11;PDK1;EGFR;STAT2;PIN1;ACTR3;ARPC3;THEM4;CDKN1B;RIPK1;ARHGDIA;CFL1;RIT1;CAMK4;PFN1;MYD88;TRAF2;CALR;UBE2N;NGF;PLA2G12A;RALB;NCK1;RAF1;DAPP1;VAV3;FGF6;HSP90B1;FGF22;CSNK2B;PPP2R1B;ADCY2;E2F1;TNFRSF1A;PRKAA2;ITPR2;PIKFYVE;CDK4;PTEN;SLC2A1;TIAM1;MAP2K3;RPS6KA1;FGF17;GNA14;CXCR4;CLTC;NOD1,21.26%,DUSP3;PRKAR2A;MAP2K6;ATF1;PTPN11;PDK1;EGFR;STAT2;PIN1;ACTR3;ARPC3;THEM4;CDKN1B;RIPK1;ARHGDIA;CFL1;RIT1;CAMK4;PFN1,19/52
2,HALLMARK_E2F_TARGETS,0.20607458669742407,0.4154005586110344,1.4890484680301497,0.0020768431983385254,MCM6;DONSON;DCTPP1;SPAG5;STMN1;KIF22;MAD2L1;MELK;BRMS1L;CENPE;LMNB1;MCM3;NUP205;RANBP1;STAG1;DCLRE1B;CDKN1B;RPA3;SMC3;RAN;DSCC1;E2F8;HUS1;PPM1D;POLD3;CKS2;CIT;SPC24;PLK4;CDCA3;MYC;NCAPD2;TUBB;NUDT21;BARD1;MSH2;IPO7;RPA2;EIF2S1;POP7;RNASEH2A;CDCA8;POLE4;POLA2;GINS4;TACC3;TRIP13;WDR90;ASF1B;TIMELESS;HELLS;POLD1;LIG1;PNN;PLK1;TK1;NBN;PTTG1;PDS5B;RAD21;UBE2S;SLBP;MCM2;XPO1;RPA1;NUP107;RFC3;PA2G4;TOP2A;ESPL1;EXOSC8;SPC25;CDC20;MYBL2;KIF2C;DCK;RFC1;NUP153;ASF1A;ATAD2;CDK4;AURKB;TUBG1;PRIM2;XRCC6;MCM5;BRCA2;GINS1;CTCF;CCNB2;DIAPH3;KIF18B;NAA38;BUB1B;TRA2B;SSRP1;NOLC1,30.38%,MCM6;DONSON;DCTPP1;SPAG5;STMN1;KIF22;MAD2L1;MELK;BRMS1L;CENPE;LMNB1;MCM3;NUP205;RANBP1;STAG1;DCLRE1B;CDKN1B;RPA3;SMC3;RAN;DSCC1;E2F8;HUS1;PPM1D;POLD3;CKS2;CIT;SPC24;PLK4;CDCA3;MYC;NCAPD2;TUBB;NUDT21;BARD1;MSH2;IPO7;RPA2;EIF2S1;POP7;RNASEH2A;CDCA8;POLE4;POLA2;GINS4,45/97
3,HALLMARK_APICAL_SURFACE,0.4117390747148532,0.47235061741133944,1.375500223958632,0.08018867924528301,PCSK9;B4GALT1;HSPB1;ADAM10;NCOA6;LYPD3;FLOT2;SCUBE1;SLC2A4;EFNA5;CROCC;CX3CL1;RHCG;MDGA1;SLC34A3;AKAP7;DCBLD2;IL2RB;ATP8B1;RTN4RL1;EPHB4;THY1;CD160;ADIPOR2,5.72%,PCSK9;B4GALT1;HSPB1;ADAM10,4/24
4,HALLMARK_G2M_CHECKPOINT,0.423597761544705,0.37323445268822214,1.3530406978851015,0.04845360824742268,SFPQ;MCM6;NCL;CDC6;STMN1;KIF22;KIF5B;CCNT1;SLC12A2;KIF20B;MAD2L1;CENPE;LMNB1;KPNB1;MCM3;RPS6KA5;SQLE;STAG1;PRPF4B;MT2A;CDKN1B;WRN;NUMA1;HUS1;CKS2;NEK2;PLK4;DBF4;RASAL2;MYC;CUL3;BARD1;UPF1;RPA2;PAFAH1B1;EGF;POLA2;TACC3;CUL1;POLQ;UCK2;PLK1;EFNA5;SMAD3;SLC7A5;PBK;ODF2;PTTG1;E2F3;PDS5B;RAD21;UBE2S;RBM14;CHAF1A;SLC7A1;CCND1;MCM2;XPO1;E2F1;E2F2;TOP2A;ESPL1;TOP1;CDC20;HIRA;CCNF;MYBL2;KIF2C;TRAIP;MNAT1;BCL3;GINS2;CDK4;E2F4;CCNA2;RAD23B;AURKB;SMARCC1;HOXC10;SAP30;PRIM2;FANCC;TROAP;ABL1;MCM5;BRCA2;CENPF;SNRPD1;CTCF;CCNB2;CUL5;TGFB1;HMGN2;KIF11;BUB1;MARCKS;ODC1;TRA2B;NOTCH2;MEIS1;NOLC1,20.70%,SFPQ;MCM6;NCL;CDC6;STMN1;KIF22;KIF5B;CCNT1;SLC12A2;KIF20B;MAD2L1;CENPE;LMNB1;KPNB1;MCM3;RPS6KA5;SQLE;STAG1;PRPF4B;MT2A;CDKN1B;WRN;NUMA1;HUS1;CKS2;NEK2;PLK4;DBF4;RASAL2;MYC,30/101
5,HALLMARK_ADIPOGENESIS,0.48878636421889016,0.3801652948424297,1.380720270561076,0.020366598778004074,SULT1A1;EPHX2;BCL2L13;CS;BAZ2A;TANK;CD302;DRAM2;PLIN2;VEGFB;SCP2;CCNG2;ANGPT1;TALDO1;IFNGR1;C3;HADH;ACADS;COQ5;UQCRQ;FAH;GRPEL1;DLAT;PTCD3;MCCC1;ADIG;DBT;COQ3;SLC27A1;CHCHD10;COX6A1;NDUFA5;DNAJB9;DLD;APOE;ACADL;CAT;LIPE;ESYT1;CYC1;SAMM50;ABCB8;ACO2;PFKFB3;ESRRA;SLC25A1;COL4A1;REEP5;QDPR;TST;ECH1;DHRS7;GPX3;POR;DHRS7B;DNAJC15;COX8A;GADD45A;GHITM;IDH3A;MRPL15;HSPB8;SNCG;SLC19A1;STAT5A;ALDH2;SDHB;SOD1;PGM1;NDUFAB1;YWHAG;UQCRC1;COL15A1;ME1;ABCA1;SUCLG1;ADIPOQ;COQ9;PEX14;LPCAT3;REEP6;CHUK;PREB;ATP1B3;NDUFB7;NKIRAS1;RNF11;SLC25A10;MDH2;FZD4;ETFB;UCP2;CPT2;DECR1;GPAM;RETSAT;ACAA2;GBE1;MGST3;NMT1;ECHS1;LPL;JAGN1;MAP4K3;LTC4S;ITGA7;PEMT;PPP1R15B;MTCH2;RIOK3;ADIPOR2,30.02%,SULT1A1;EPHX2;BCL2L13;CS;BAZ2A;TANK;CD302;DRAM2;PLIN2;VEGFB;SCP2;CCNG2;ANGPT1;TALDO1;IFNGR1;C3;HADH;ACADS;COQ5;UQCRQ;FAH;GRPEL1;DLAT;PTCD3;MCCC1;ADIG;DBT;COQ3;SLC27A1;CHCHD10;COX6A1;NDUFA5;DNAJB9;DLD;APOE;ACADL;CAT;LIPE;ESYT1;CYC1;SAMM50;ABCB8;ACO2;PFKFB3;ESRRA;SLC25A1;COL4A1;REEP5,48/111
6,HALLMARK_IL2_STAT5_SIGNALING,0.5813148788927335,0.3477458516978983,1.2531575731521418,0.08950617283950617,CDC6;IL1RL1;PLIN2;CST7;IL18R1;CKAP4;IFNGR1;SCN9A;TNFSF10;IL13;ANXA4;TNFRSF1B;IKZF4;TNFRSF9;FAH;TNFRSF21;EMP1;BMPR2;TWSG1;PLSCR1;IGF1R;MAP3K8;IRF6;SMPDL3A;PTGER2;SHE;NRP1;CTSZ;ITGAE;BATF;SOCS2;RRAGD;TNFRSF8;MYC;MYO1E;ICOS;SLC29A2;DHRS3;MXD1;SPRED2;GPR65;ABCB1;DCPS;POU2F1;GSTO1;IRF8;CCR4;MAP6;UCK2;AHR;RORA;ENPP1;BHLHE40;IL10;COL6A1;CD81;SYT11;CA2;IGF2R;SOCS1;HK2;GABARAPL1;SERPINC1;ALCAM;PRKCH;PDCD2L;RABGAP1L;GPR83;BATF3;ST3GAL4;BCL2;PTRH2;NT5E;CD48;GADD45B;GBP4;CD86;GLIPR2;GALM;IL2RB;AHNAK;CDCP1;LIF;CAPG;RHOH;LRIG1;FLT3LG;TIAM1;PNP;SH3BGRL2;PIM1;BMP2;PTH1R;SLC39A8;FURIN;ADAM19;SNX9;IL2RA;IL4R;SYNGR2;SELL;P2RX4;TRAF1;CCND2;ODC1;SERPINB6;SWAP70;CSF2;EOMES;RGS16;LRRC8C;SELP;DENND5A,19.04%,CDC6;IL1RL1;PLIN2;CST7;IL18R1;CKAP4;IFNGR1;SCN9A;TNFSF10;IL13;ANXA4;TNFRSF1B;IKZF4;TNFRSF9;FAH;TNFRSF21;EMP1;BMPR2;TWSG1;PLSCR1;IGF1R;MAP3K8;IRF6;SMPDL3A;PTGER2;SHE;NRP1;CTSZ;ITGAE;BATF;SOCS2;RRAGD;TNFRSF8,33/113
7,HALLMARK_MITOTIC_SPINDLE,0.5854158656926822,0.3569081964758335,1.2968801309829179,0.06198347107438017,RABGAP1;ECT2;KIF22;KIF5B;MYH9;MARK4;KIF20B;TUBD1;PPP4R2;CEP192;CENPE;SASS6;TRIO;DYNC1H1;LMNB1;RICTOR;ARHGAP29;ARHGEF3;TBCD;FSCN1;SMC3;NUMA1;ARHGDIA;ARFGEF1;SPTBN1;NEK2;MAP3K11;SAC3D1;RASAL2;RHOT2;MYO1E;CD2AP;MAP1S;KIF3B;PCGF5;CAPZB;KIF3C;PAFAH1B1;PREX1;WASL;MYH10;NEDD9;FARP1;TUBGCP2;RANBP9;TAOK2;CDC42EP4;SSH2;KATNB1;PLK1;KIF1B;NCK1;DOCK4;CEP250;SOS1;MAPRE1;FGD6;DOCK2;SYNPO;LATS1;DYNLL2;DST;CEP57;CENPJ;TOP2A;PLEKHG2;STK38L;ESPL1;ANLN;FGD4;CDC42EP2;ARL8A;KIF2C;ACTN4;RFC1;LLGL1;ARHGEF12;KPTN;HOOK3;TIAM1;NET1;CDC42EP1;KNTC1;SHROOM1;TUBA4A;ARHGAP10;ROCK1;PIF1;RHOF;TUBGCP3;ABL1;WASF2;BRCA2;CENPF;RASA2;CCNB2;PCM1;PKD2;KIF11;LRPPRC;ALMS1;BUB1;MARCKS;RAPGEF5;ARAP3;NOTCH2;RAB3GAP1;KIFAP3,20.17%,RABGAP1;ECT2;KIF22;KIF5B;MYH9;MARK4;KIF20B;TUBD1;PPP4R2;CEP192;CENPE;SASS6;TRIO;DYNC1H1;LMNB1;RICTOR;ARHGAP29;ARHGEF3;TBCD;FSCN1;SMC3;NUMA1;ARHGDIA;ARFGEF1;SPTBN1;NEK2;MAP3K11;SAC3D1;RASAL2;RHOT2,30/108
8,HALLMARK_PEROXISOME,0.5916955017301039,0.38780065126949875,1.279107721847052,0.1288936627282492,HSD17B11;EPHX2;SULT2B1;FIS1;SCP2;PEX6;SLC35B2;ABCC5;IDE;HSD17B4;ABCD2;CAT;RDH11;MSH2;PEX11A;DHRS3;IDH2;ISOC1;ALDH9A1;CRABP2;ABCB1;ECH1;DHCR24;CLN6;SLC25A4;VPS4B;CDK7;TTR;HSD11B2;YWHAH;BCL10;ABCC8;SOD1;ERCC3;PABPC1;IDI1;PEX14;SERPINA6;ALB;TOP2A;LONP2;ACSL1;MLYCD;CACNA1B;SMARCC1;CEL;RETSAT;SLC25A17;FADS1;ELOVL5;CRABP1;SEMA3C;CLN8,39.27%,HSD17B11;EPHX2;SULT2B1;FIS1;SCP2;PEX6;SLC35B2;ABCC5;IDE;HSD17B4;ABCD2;CAT;RDH11;MSH2;PEX11A;DHRS3;IDH2;ISOC1;ALDH9A1;CRABP2;ABCB1;ECH1;DHCR24;CLN6;SLC25A4;VPS4B;CDK7;TTR;HSD11B2,29/53
9,HALLMARK_MYC_TARGETS_V1,0.6113887820923577,0.34834494360028273,1.2601833597332868,0.09927611168562564,GLO1;MCM6;RPL22;PSMD8;CAD;RPS6;PSMA7;HDDC2;YWHAQ;CCT5;MAD2L1;MRPL23;PSMC6;KPNB1;SNRPD3;PSMD1;SRM;RANBP1;RPS10;EIF2S2;RAN;GOT2;DDX21;HSPE1;IMPDH2;PTGES3;MYC;SRPK1;HSP90AB1;CCT4;SNRPG;PPIA;EIF2S1;CYC1;DHX15;EIF3J;EIF3D;PWP1;ERH;PSMB3;UBA2;RPS3;CUL1;HNRNPA3;NOP16;STARD7;PSMD3;HDAC2;PSMA2;RPL18;LSM7;NDUFAB1;PABPC1;FBL;MCM2;XPO1;MRPS18B;PA2G4;PSMA1;RSL1D1;PRPF31;PSMD7;SNRPA;TYMS;ETF1;CDC20;DDX18;RUVBL2;VDAC1;CDK4;SF3B3;CCNA2;LSM2;RAD23B;ILF2;SMARCC1;COPS5;XRCC6;C1QBP;RRP9;PSMB2;SET;MCM5;SNRPA1;SNRPD1;RRM1;EXOSC7;FAM120A;COX5A;PSMA6;ODC1;PSMD14;TUFM;AIMP2;TRA2B;CCT2;CLNS1A;AP3S1;NOLC1;SSBP1,26.16%,GLO1;MCM6;RPL22;PSMD8;CAD;RPS6;PSMA7;HDDC2;YWHAQ;CCT5;MAD2L1;MRPL23;PSMC6;KPNB1;SNRPD3;PSMD1;SRM;RANBP1;RPS10;EIF2S2;RAN;GOT2;DDX21;HSPE1;IMPDH2;PTGES3;MYC;SRPK1;HSP90AB1;CCT4;SNRPG;PPIA;EIF2S1;CYC1;DHX15,35/100
