,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_KRAS_SIGNALING_UP,0.9495216364436971,0.4710208206809232,1.1103845352267867,0.119,SCN1B;TRIB1;ZNF639;CA2;AKT2;KCNN4;NRP1;STRN;LY96;IL7R;ANKH;RGS16;RABGAP1L;PIGR;FCER1G;ADAM17;ID2;MYCN;CTSS;CDADC1;PTGS2;CFHR2;CFH;LCP1;USP12;FGF9;TSPAN13;AVL9;AKAP12;MMP9;PTPRR;SPRY2;ITGBL1;EMP1;C3AR1;CCND2;SDCCAG8;BMP2;SLPI;HOXD11;KIF5C;GALNT3;ACE;F13A1;CBX8;SPON1;RBM4;TNFAIP3;ARG1;MAP7;CFB;PRDM1;MMD;SOX9;ETS1;CBL;ANO1;MMP10;PTBP2;IKZF1;EVI5;ABCB1;INHBA;TSPAN1;IL33;PDCD1LG2;GADD45G;KLF4;FUCA1;NR0B2;IL1B;MALL;CXCR4;IL1RL2;TNFRSF1B;NGF;WDR33;ZNF277;LAPTM5;YRDC;IRF8;TRAF1;ITGA2;HKDC1;SERPINA3;CSF2;DNMBP;RBP4;MTMR10;CBR4;CPE;MAP3K1;ALDH1A3;F2RL1;GPRC5B;PTCD2;PPBP;BTC;EREG;DCBLD2;MMP11;PRKG2;PPP1R15A;DOCK2;HBEGF;FLT4;GFPT2;LIF;PCP4;WNT7A;PLVAP;NR1H4;ETV5;APOD;EPB41L3;PLEK2,27.58%,SCN1B;TRIB1;ZNF639;CA2;AKT2;KCNN4;NRP1;STRN;LY96;IL7R;ANKH;RGS16;RABGAP1L;PIGR;FCER1G;ADAM17;ID2;MYCN;CTSS;CDADC1;PTGS2;CFHR2;CFH;LCP1;USP12;FGF9;TSPAN13;AVL9;AKAP12;MMP9;PTPRR;SPRY2;ITGBL1;EMP1;C3AR1;CCND2;SDCCAG8;BMP2;SLPI;HOXD11;KIF5C;GALNT3,42/116
1,HALLMARK_HEDGEHOG_SIGNALING,0.9929546455306033,0.2965468137397296,0.6191308871904568,0.9675785207700102,NRP1;CDK5R1;CRMP1;SCG2;HEY2;THY1;SHH;TLE1;RTN1;LDB1;SLIT1;NKX6-1;UNC5C;CELSR1;MYH9;ETS2;DPYSL2,51.79%,NRP1;CDK5R1;CRMP1;SCG2;HEY2;THY1;SHH;TLE1,8/17
2,HALLMARK_ANDROGEN_RESPONSE,0.997962533157853,0.31490716646739897,0.7141599072934711,0.977,ANKH;RAB4A;IDI1;TSC22D1;SRF;AKAP12;ABCC4;ELOVL5;XRCC5;STK39;APPBP2;KRT19;MAK;FADS1;MAP7;SGK1;SPDEF;UBE2J1;PGM3;CCND1;GNAI3;STEAP4;DHCR24;B4GALT1;TMEM50A;MERTK;PA2G4;SLC38A2;KRT8;DNAJB9;SPCS3;ARID5B;TNFAIP8;PTPN21;ELL2;ZMIZ1;SCD;SRP19;SEC24D;SORD;B2M;PIAS1;IQGAP2;ALDH1A3;GPD1L;BMPR1B;HERC3;SLC26A2;HSD17B14;XRCC6;ADAMTS1;LMAN1;GSR;NKX3-1,40.39%,ANKH;RAB4A;IDI1;TSC22D1;SRF;AKAP12;ABCC4;ELOVL5;XRCC5;STK39;APPBP2;KRT19;MAK;FADS1;MAP7;SGK1;SPDEF;UBE2J1;PGM3,19/54
3,HALLMARK_ESTROGEN_RESPONSE_LATE,1.0,0.4011410022438965,0.9456767369652135,0.71,COX6C;CA2;ZFP36;BLVRB;SLC24A3;RNASEH2A;DNAJC1;PRLR;FABP5;CYP26B1;ID2;ANXA9;S100A9;MAPK13;KCNK5;AGR2;TSPAN13;SNX10;FARP1;ELOVL5;PTPN6;FKBP4;OPN3;CD9;RPS6KA2;TFAP2C;OVOL2;CDC6;TOP2A;IGFBP4;RAPGEFL1;KRT19;MICB;DCXR;ST6GALNAC2;PERP;FRK;SGK1;PRSS23;PGR;SLC9A3R1;TRIM29;CCND1;GAL;ST14;CDC20;JAK1;UNC13B;JAK2;KLF4;SIAH2;DUSP2;NAB2;CDH1;NRIP1;METTL3;TFPI2;CELSR2;CAV1;PRKAR2B;GINS2;SLC7A5;HSPB8;OLFM1;PTGES;ARL3;DNAJC12;FAM102A;SLC2A8;CLIC3;SERPINA3;ITPK1;SERPINA5;SLC22A5;FOS;BATF;PPIF;DLG5;SORD;HSPA4L;PLK4;CKB;ISG20;IDH2;CPE;NPY1R;ABCA3;EMP2;AMFR;IL17RB;TNNC1;ACOX2;AREG;TFF3;TFF1;LTF;UGDH;AFF1;NMU;SULT2B1;ETFB;SLC26A2;KIF20A;CXCL14;TST;TIAM1;PCP4;TJP3;CHPT1;BCL2;FDFT1;EGR3;IMPA2;RAB31,24.49%,COX6C;CA2;ZFP36;BLVRB;SLC24A3;RNASEH2A;DNAJC1;PRLR;FABP5;CYP26B1;ID2;ANXA9;S100A9;MAPK13;KCNK5;AGR2;TSPAN13;SNX10;FARP1;ELOVL5;PTPN6;FKBP4;OPN3;CD9;RPS6KA2;TFAP2C,26/114
4,HALLMARK_APOPTOSIS,1.0,0.3938987978832237,0.913779599716477,0.752,TNFSF10;TXNIP;PPP3R1;DAP;ANKH;RETSAT;RNASEL;PEA15;BTG2;IL6;DNAJC3;ENO2;CDKN1B;EMP1;CCND2;IGF2R;BMP2;TOP2A;NEDD9;IER3;TNF;TIMP2;GUCY2D;GADD45B;PPP2R5B;F2;IFNGR1;TAP1;FEZ1;CCND1;DPYD;HSPB1;BCL10;TGFBR3;GADD45A;ANXA1;IL1B;IL1A;SLC20A1;CD2;AVPR1A;ERBB3;IGFBP6;BCL2L2;CAV1;SMAD7;MGMT;VDAC2;IRF1;BCL2L10;PLCB2;ISG20;TNFRSF12A;RHOT2;F2R;MMP2;EREG;CD38;PDGFRB;GPX3;ETF1;BIK;SOD1;GNA15;HMOX1;LUM;GSR;BNIP3L;EGR3;ROCK1,38.51%,TNFSF10;TXNIP;PPP3R1;DAP;ANKH;RETSAT;RNASEL;PEA15;BTG2;IL6;DNAJC3;ENO2;CDKN1B;EMP1;CCND2;IGF2R;BMP2;TOP2A;NEDD9;IER3;TNF;TIMP2;GUCY2D;GADD45B;PPP2R5B;F2;IFNGR1,27/70
5,HALLMARK_INFLAMMATORY_RESPONSE,1.0,0.49662891947647536,1.1723443796235555,0.033,C5AR1;SCN1B;MYC;HAS2;RIPK2;TNFSF10;PTGIR;TNFSF9;CD70;ICAM1;LAMP3;LDLR;IL7R;PTGER4;OSMR;MXD1;TACR1;OPRK1;RGS16;SELL;SELE;IL10;CD48;SLAMF1;BTG2;RGS1;SLC7A1;IL6;ITGB8;AHR;OLR1;C3AR1;FZD5;CALCRL;ACVR2A;TNFAIP6;NMI;MARCO;CCL7;CCL2;CCL5;CCR7;GP1BA;RNF144B;ADORA2B;NMUR1;SLC1A2;ADM;ROS1;ITGB3;KCNJ2;CCL24;F3;TNFRSF9;GNAI3;SRI;INHBA;SEMA4D;ABCA1;SLC31A2;IL18RAP;IL1B;IL1A;IL1R1;IL18R1;TNFRSF1B;KIF1B;ITGA5;NFKBIA;SLC11A2;PTGER2;IL4R;RHOG;MMP14;NAMPT;P2RX4;P2RX7;TNFSF15;TLR3;IRF1;BDKRB1;GPR132;TLR2;MEFV;CCL17;CX3CL1;CCL22;NOD2;STAB1;EREG;DCBLD2;TLR1;TACR3;CXCL6;CXCL9;NPFFR2;CHST2;PCDH7;EMP3;IL12B;FPR1;LCP2;HBEGF;LIF;OSM;IL2RB;IFNAR1;IFNGR2;EBI3;RAF1;IRAK2;GNA15;BST2;RTP4,18.51%,C5AR1;SCN1B;MYC;HAS2;RIPK2;TNFSF10;PTGIR;TNFSF9;CD70;ICAM1;LAMP3;LDLR;IL7R;PTGER4;OSMR;MXD1;TACR1;OPRK1;RGS16;SELL;SELE;IL10;CD48;SLAMF1;BTG2;RGS1;SLC7A1;IL6;ITGB8;AHR,30/114
6,HALLMARK_UV_RESPONSE_UP,1.0,0.4823347449346919,1.1164504122984644,0.179,CEBPG;CA2;DNAJB1;PRKACA;WIZ;EPCAM;ICAM1;GGH;SPR;CREG1;FMO1;PRPF3;TCHH;CYB5R1;BTG2;KLHDC3;IL6;CDC5L;ENO2;POLR2H;FKBP4;BMP2;IGFBP2;PLCL1;GLS;CDC34;CNP;APOM;GRPEL1;MSX1;TUBA4A;STK25;PSMC3;STIP1;TAP1;RXRB;POLG2;GAL;ABCB1;YKT6;UROD;NFKBIA;SULT1A1;CYB5B;MRPL23;HSPA13;MMP14;PDAP1;NPTX2;ATP6V1F;OLFM1;LHX2;SLC25A4;DDX21;IRF1;FOS;PPIF;CDO1;ONECUT1;CYP1A1;CHRNA5;TYRO3;FURIN;RPN1;CXCL2;CCK;TACR3;PPAT;GPX3;FGF18;TST;NPTXR;HMOX1;BTG1;PPP1R2,29.80%,CEBPG;CA2;DNAJB1;PRKACA;WIZ;EPCAM;ICAM1;GGH;SPR;CREG1;FMO1;PRPF3;TCHH;CYB5R1;BTG2;KLHDC3;IL6;CDC5L;ENO2;POLR2H;FKBP4;BMP2;IGFBP2;PLCL1;GLS;CDC34;CNP;APOM;GRPEL1;MSX1,30/75
7,HALLMARK_HEME_METABOLISM,1.0,0.38335890802780803,0.8933339251362885,0.836,CA2;BLVRB;RAD23A;KLF1;DCUN1D1;C3;EPOR;ANK1;SLC30A10;TMCC2;MGST3;MBOAT2;SELENBP1;BTG2;SLC30A1;NEK7;GCLC;RHAG;HEBP1;FOXJ2;SPTA1;AGPAT4;TOP1;TNS1;TRAK2;CIR1;MAP2K3;FN3K;ABCB6;PPP2R5B;CAT;TMEM9B;CCDC28A;HBBP1;HBB;EZH1;NFE2L1;TYR;ENDOD1;VEZF1;SLC4A1;HMBS;ARHGEF12;SIDT2;UCP2;GCLM;KEL;SLC2A1;BLVRA;TAL1;PDZK1IP1;UROD;RCL1;ISCA1;E2F2;ALAD;DCAF10;GMPS;KHNYN;SLC11A2;USP15;SPTB;RANBP10;DAAM1;LRP10;MOCOS;RIOK3;PSMD9;UBAC1;MXI1;GAPVD1;SLC22A4;ALDH6A1;ELL2;MINPP1;UROS;CDR2;ARL2BP;SLC7A11;CPOX;ALDH1L1;KAT2B;KLF3;RBM5;SLC25A38;TSPAN5;TFDP2;ABCG2;OSBP2;PGLS;BNIP3L;SLC25A37;MFHAS1,44.80%,CA2;BLVRB;RAD23A;KLF1;DCUN1D1;C3;EPOR;ANK1;SLC30A10;TMCC2;MGST3;MBOAT2;SELENBP1;BTG2;SLC30A1;NEK7;GCLC;RHAG;HEBP1;FOXJ2;SPTA1;AGPAT4;TOP1;TNS1;TRAK2;CIR1;MAP2K3;FN3K;ABCB6;PPP2R5B;CAT;TMEM9B;CCDC28A;HBBP1;HBB;EZH1;NFE2L1;TYR;ENDOD1;VEZF1;SLC4A1;HMBS;ARHGEF12;SIDT2;UCP2,45/93
8,HALLMARK_E2F_TARGETS,1.0,0.4628321849219489,1.086316496777807,0.221,DSCC1;NBN;RAD21;ATAD2;MYC;ASF1B;GINS1;XPO1;RNASEH2A;MSH2;SPC24;NUP107;TRIP13;POLE4;GINS4;PDS5B;RFC3;EXOSC8;BRCA2;MCM3;POLA2;DIAPH3;PRIM2;CDKN1B;NCAPD2;CDCA3;RPA3;MYBL2;BARD1;SPC25;PPM1D;TACC3;SLBP;TOP2A;SPAG5;RPA1;KIF22;NUP153;TUBB;TK1;NAA38;AURKB;SSRP1;E2F8;IPO7;ASF1A;TUBG1;KIF18B;POLD3;HUS1;DCLRE1B;CDC20;KIF2C;CKS2;STMN1;RPA2;MELK;MCM6;TIMELESS;BRMS1L;PA2G4;ESPL1;CDK4;CTCF;PNN;NUP205;POP7;CDCA8;CIT;SMC3;LMNB1;HELLS;NOLC1;CCNB2;MAD2L1;PLK4;BUB1B;WDR90;PLK1;DCTPP1;NUDT21;STAG1;MCM2;RANBP1;RFC1;CENPE;DCK;POLD1;LIG1;UBE2S;RAN;PTTG1;XRCC6;DONSON;MCM5;TRA2B;EIF2S1,32.31%,DSCC1;NBN;RAD21;ATAD2;MYC;ASF1B;GINS1;XPO1;RNASEH2A;MSH2;SPC24;NUP107;TRIP13;POLE4;GINS4;PDS5B;RFC3;EXOSC8;BRCA2;MCM3;POLA2;DIAPH3;PRIM2;CDKN1B;NCAPD2;CDCA3;RPA3;MYBL2;BARD1;SPC25;PPM1D;TACC3;SLBP;TOP2A;SPAG5;RPA1;KIF22;NUP153;TUBB,39/97
9,HALLMARK_GLYCOLYSIS,1.0,0.3485974016205732,0.8163707939864175,0.952,SDC2;EXT1;PYGB;NANP;GAPDHS;MDH1;HK2;GFPT1;ALDH9A1;EFNA3;PFKP;PPFIA4;LHX9;GYS2;GCLC;IRS2;ENO2;FKBP4;CHST12;SPAG4;IER3;ADORA2B;GALK1;CHPF;ABCB6;GPC1;CHST1;B3GAT3;NT5E;ZNF292;RRAGD;ME1;XYLT2;SOX9;CAPN5;MDH2;TPST1;GUSB;EGFR;SLC35A3;ENO1;PGAM2;CHPF2;PAXIP1;PPIA;B4GALT1;GNE;ALDOB;FBP2;TXN;STMN1;MERTK;CXCR4;LCT;PLOD1;EGLN3;NOL3;GOT2;TALDO1;DLD;SDC3;CHST6;COL5A1;HSPA5;MXI1;DPYSL4;SAP30;DDIT4;ALDH7A1;GOT1;PGAM1;ARPP19;NDST3;CLN6;GLCE;MPI;ISG20;ALG1;PMM2;HOMER1;MIF;TFF3;FAM162A;SLC25A10;SRD5A3;CHST2;PGM2;B4GALT7;STC2;KIF20A;TGFBI;GNPDA1;GAL3ST1;BIK;SOD1;B3GNT3;PGLS;STC1,25.13%,SDC2;EXT1;PYGB;NANP;GAPDHS;MDH1;HK2;GFPT1;ALDH9A1;EFNA3;PFKP;PPFIA4;LHX9;GYS2;GCLC;IRS2;ENO2;FKBP4;CHST12;SPAG4,20/98
