,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_E2F_TARGETS,0.0,0.624739467283468,1.8420196451740045,0.0,CIT;BUB1B;TOP2A;SPC25;SPAG5;KIF18B;BARD1;STMN1;PLK4;E2F8;ESPL1;CCNB2;CENPE;RNASEH2A;KIF2C;MCM6;NCAPD2;LMNB1;CDCA3;MAD2L1;TIMELESS;CDKN1B;CDCA8;NUP153;ATAD2;TRA2B;RFC3;MELK;MCM2;DONSON;XPO1;PRIM2;PPM1D;TUBG1;RAD21;PTTG1;EXOSC8;ASF1A;RAN;RANBP1;POLD3;CDC20;PNN;PLK1;KIF22;HELLS;MSH2;MCM3;SMC3;NUP107;DSCC1;DCLRE1B;TACC3;SSRP1;AURKB;MYBL2;TRIP13;GINS1;CKS2;TK1;ASF1B;SPC24;LIG1;NUDT21;PDS5B;POLE4;CDK4;NUP205;WDR90;DCK;RPA1;RPA2;SLBP;MCM5;TUBB;XRCC6;UBE2S;POLA2;PA2G4;DIAPH3;NAA38;CTCF;BRCA2;POLD1;HUS1;POP7;GINS4;RPA3;DCTPP1;BRMS1L;STAG1;NBN;RFC1;NOLC1;EIF2S1;MYC;IPO7,25.67%,CIT;BUB1B;TOP2A;SPC25;SPAG5;KIF18B;BARD1;STMN1;PLK4;E2F8;ESPL1;CCNB2;CENPE;RNASEH2A;KIF2C;MCM6;NCAPD2;LMNB1;CDCA3;MAD2L1;TIMELESS;CDKN1B;CDCA8;NUP153;ATAD2;TRA2B;RFC3;MELK;MCM2;DONSON;XPO1;PRIM2;PPM1D;TUBG1;RAD21;PTTG1;EXOSC8;ASF1A;RAN;RANBP1;POLD3;CDC20;PNN;PLK1;KIF22;HELLS;MSH2;MCM3;SMC3;NUP107;DSCC1;DCLRE1B;TACC3;SSRP1;AURKB;MYBL2,56/97
1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0021276595744680856,-0.4051639484778964,-2.0245629922494515,0.0,NFYB;CEBPG;DCP2;EIF4A2;ZBTB17;SEC11A;ATP6V0D1;EXOSC1;EDEM1;CNOT6;EDC4;IFIT1;EXOSC2;CNOT2;WIPI1;CCL2;LSM4;TATDN2;HSP90B1;EIF4A3;KIF5B;ERN1;EIF4EBP1;SLC7A5;EXOSC4;BAG3;STC2;PREB;KHSRP;NOLC1;EIF2S1;CALR;DDIT4;DCP1A;ATF6;TUBB2A;PDIA6;SSR1;SPCS3;CNOT4;EIF2AK3;DNAJB9;YIF1A;HSPA5;HSPA9;SRPRB;DDX10;RRP9;FKBP14;EEF2;NOP14;DNAJC3;SDAD1,14.20%,SDAD1;DNAJC3;NOP14;EEF2;FKBP14;RRP9;DDX10;SRPRB;HSPA9;HSPA5;YIF1A;DNAJB9;EIF2AK3;CNOT4;SPCS3;SSR1;PDIA6;TUBB2A;ATF6,19/53
2,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.002223141350429118,0.6376020558001381,1.7628880069544473,0.0,STARD4;FADS2;SCD;IDI1;SQLE;ACAT2;GNAI1;ALDOC;LPL;SREBF2;FDFT1;CD9;FABP5;LDLR;ATXN2;HSD17B7;FASN;ANXA5;MVD;TMEM97;GUSB;PLSCR1;ECH1;ALCAM;FBXO6;PMVK;ANTXR2;PCYT2;STX5;PNRC1;GLDC;S100A11;ETHE1;MAL2;TM7SF2;AVPR1A;ERRFI1;JAG1;ACTG1;TNFRSF12A,17.80%,STARD4;FADS2;SCD;IDI1;SQLE;ACAT2;GNAI1;ALDOC;LPL;SREBF2;FDFT1;CD9;FABP5;LDLR;ATXN2;HSD17B7;FASN;ANXA5;MVD,19/40
3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.004255319148936171,-0.30131222112164757,-2.041566851692668,0.0,SGCG;ENO2;BASP1;PCOLCE2;DPYSL3;EMP3;FBLN5;ABI3BP;LGALS1;IGFBP2;LUM;CDH2;FSTL3;COL5A3;FUCA1;ITGA5;SLIT3;SPOCK1;TGFB1;CAPG;DST;DAB2;CDH6;PDGFRB;CAP2;LRP1;GLIPR1;MATN3;SLIT2;TNFAIP3;WNT5A;VIM;IGFBP4;AREG;COL7A1;CXCL6;EDIL3;ANPEP;MMP2;CDH11;TNFRSF11B;TGFBR3;VEGFC;ID2;EFEMP2;TPM4;SNTB1;FMOD;IL6;SGCB;TGFBI;GPX7;SNAI2;PCOLCE;COL4A2;CXCL1;LAMA1;GADD45A;SDC4;SPARC;HTRA1;LOXL1;PLOD3;NOTCH2;ITGB5;TFPI2;DKK1;GADD45B;MMP14;LAMC1;BMP1;MGP;GREM1;CRLF1;ITGB3;FGF2;SERPINH1;NID2;COL4A1;COL16A1;LOX;GPC1;FAP;THBS2;PLOD1;PPIB;COL8A2;LOXL2;MFAP5;INHBA;TNC;OXTR;SFRP1;FBN2;COL6A2;COMP;FSTL1;SCG2;ITGA2;NT5E;MSX1;CTHRC1;THBS1;NTM;SFRP4;COL1A2;THY1;COL3A1;COL5A2;COL1A1;COL5A1;TNFRSF12A;FBN1,20.14%,FBN1;TNFRSF12A;COL5A1;COL1A1;COL5A2;COL3A1;THY1;COL1A2;SFRP4;NTM;THBS1;CTHRC1;MSX1;NT5E;ITGA2;SCG2;FSTL1;COMP;COL6A2;FBN2;SFRP1;OXTR;TNC;INHBA;MFAP5;LOXL2;COL8A2;PPIB;PLOD1;THBS2;FAP;GPC1;LOX;COL16A1;COL4A1;NID2;SERPINH1;FGF2;ITGB3;CRLF1;GREM1;MGP;BMP1;LAMC1;MMP14;GADD45B;DKK1;TFPI2;ITGB5;NOTCH2,50/113
4,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.01489504704787509,0.5774744535307846,1.6311848936957263,0.0010309278350515464,LAMP3;IRF9;RNF31;B2M;IFI30;TXNIP;UBA7;PARP12;PROCR;NMI;DHX58;HLA-C;TMEM140;SLC25A28;IFI44;PSME2;LGALS3BP;ISG20;IFI35;STAT2;DDX60;IRF2;PLSCR1;TRIM21;BST2;BATF2;IRF1;RTP4;GMPR;TAP1;CMPK2;IL4R;GBP2;GBP4;USP18;OGFR;TDRD7;PARP14;TRIM25;SAMD9;RSAD2;SAMD9L;IFIT2;LAP3;IL7;NUB1;PNPT1;TRIM26;SELL;RIPK2;CNP,28.38%,LAMP3;IRF9;RNF31;B2M;IFI30;TXNIP;UBA7;PARP12;PROCR;NMI;DHX58;HLA-C;TMEM140;SLC25A28;IFI44;PSME2;LGALS3BP;ISG20;IFI35;STAT2;DDX60;IRF2;PLSCR1;TRIM21;BST2;BATF2,26/51
5,HALLMARK_G2M_CHECKPOINT,0.017785130803432945,0.5399641976456779,1.5974684630166884,0.0010090817356205853,MEIS1;TROAP;TOP2A;SQLE;BARD1;E2F3;STMN1;PLK4;ESPL1;CCNB2;CENPE;KIF2C;MCM6;BUB1;LMNB1;MAD2L1;SFPQ;CDKN1B;NEK2;SAP30;KIF11;CENPF;HOXC10;TRA2B;CCNA2;MCM2;XPO1;PRIM2;POLQ;E2F1;RAD21;PTTG1;PBK;HMGN2;CDC20;PLK1;ODF2;KIF22;KIF20B;MCM3;SNRPD1;FANCC;TACC3;AURKB;MYBL2;MNAT1;TRAIP;CCNT1;E2F2;CDC6;RPS6KA5;CKS2;SMAD3;PDS5B;PRPF4B;CCNF;CDK4;SMARCC1;CUL1;SLC12A2;UCK2;MT2A;RPA2;DBF4;CHAF1A;TGFB1;MCM5;GINS2;UBE2S;POLA2;RASAL2;MARCKS;NUMA1;RBM14;EGF;CTCF;KIF5B;KPNB1;BRCA2;HUS1;NCL;SLC7A5;ODC1;STAG1;E2F4;BCL3;RAD23B;TOP1;SLC7A1;CUL5;PAFAH1B1;NOLC1;WRN;HIRA;NOTCH2;CUL3;ABL1;MYC;EFNA5;UPF1;CCND1,25.94%,MEIS1;TROAP;TOP2A;SQLE;BARD1;E2F3;STMN1;PLK4;ESPL1;CCNB2;CENPE;KIF2C;MCM6;BUB1;LMNB1;MAD2L1;SFPQ;CDKN1B;NEK2;SAP30;KIF11;CENPF;HOXC10;TRA2B;CCNA2;MCM2;XPO1;PRIM2;POLQ;E2F1;RAD21;PTTG1;PBK;HMGN2;CDC20;PLK1;ODF2;KIF22;KIF20B;MCM3;SNRPD1;FANCC;TACC3;AURKB;MYBL2;MNAT1;TRAIP,47/101
6,HALLMARK_SPERMATOGENESIS,0.019267225037052357,0.5626402023474855,1.632594466072915,0.0,CST8;DCC;TSN;DMC1;NOS1;ACE;CNIH2;ODF1;PGS1;CCNB2;MAST2;KIF2C;BUB1;NCAPH;TEKT2;NEK2;PHKG2;GAPDHS;CAMK4;PEBP1;TOPBP1;GMCL1;COIL;LPIN1;TNNI3;ACRBP;ELOVL3;ALOX15;TLE4;IL12RB2;HOXB1;SLC12A2;TULP2;DBF4;SLC2A5;BRAF;GPR182;DMRT1;SPATA6;MTNR1A;SHE;HSPA1L;STAM2;TALDO1;MAP7;HSPA4L;DDX25;MTOR;JAM3;SYCP1;TUBA3C;TNP1;HTR5A;GAD1;PCSK4;CFTR;DNAJB8;IDE;NPY5R;YBX2;PRKAR2A;CLVS1;CSNK2A2;CLPB,12.19%,CST8;DCC;TSN;DMC1;NOS1;ACE;CNIH2;ODF1;PGS1;CCNB2;MAST2;KIF2C;BUB1;NCAPH;TEKT2;NEK2;PHKG2;GAPDHS;CAMK4;PEBP1,20/64
7,HALLMARK_BILE_ACID_METABOLISM,0.05913555992141453,0.51817768520935,1.49762577989363,0.006103763987792472,NR1H4;HSD17B6;FADS2;CYP27A1;RBP1;IDI1;PIPOX;ABCA3;ABCA8;FADS1;APOA1;SOAT2;HSD17B11;DHCR24;AKR1D1;SCP2;GNMT;SOD1;EFHC1;SULT2B1;HSD17B4;ISOC1;ACSL1;PFKM;CAT;GCLM;ABCA1;ABCG8;ABCD2;IDH2;HACL1;BMP6;PEX1;NPC1;CYP39A1;PNPLA8;RETSAT;RXRA;TFCP2L1;NUDT12;BCAR3;NR0B2;PEX11G;HAO1;HSD3B1;PEX11A;NEDD4;KLF1;ALDH9A1;ABCA4;AGXT;BBOX1;TTR;SERPINA6;PEX12;SLC35B2;PEX7;GC;CYP46A1;PEX6;CYP7B1;LIPE;LONP2;MLYCD;EPHX2,11.78%,NR1H4;HSD17B6;FADS2;CYP27A1;RBP1;IDI1;PIPOX;ABCA3;ABCA8;FADS1;APOA1;SOAT2;HSD17B11;DHCR24;AKR1D1;SCP2,16/65
8,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.08206567499298344,0.5813032562588427,1.4597235974962586,0.0387243735763098,FTL;TXNRD1;MPO;PFKP;PDLIM1;TXNRD2;SOD1;ATOX1;TXN;LSP1;PRDX6;CAT;GCLM;HHEX;GCLC;STK25;GPX3;OXSR1;NDUFA6;SBNO2;SRXN1;GSR,19.55%,FTL;TXNRD1;MPO;PFKP;PDLIM1;TXNRD2;SOD1,7/22
9,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.10459880053769001,0.47930582862580934,1.4278645490107231,0.006006006006006006,IRF9;RNF31;PSMA2;HLA-G;KLRK1;HLA-DMA;B2M;PFKP;NFKBIA;VAMP5;PTPN1;IFI30;BTG1;TXNIP;VAMP8;PARP12;PTPN6;NMI;DHX58;SECTM1;SLC25A28;IFI44;FPR1;NLRC5;GZMA;PSME2;TNFSF10;PSMB2;LGALS3BP;OAS3;ISG20;CIITA;SAMHD1;IFI35;STAT2;CD86;DDX60;NUP93;HLA-DRB1;HLA-B;IRF2;PLSCR1;TRIM21;CD38;BST2;BATF2;CCL5;PSMB10;LCP2;GBP6;MX2;SPPL2A;IRF1;RTP4;TAP1;ICAM1;IRF8;CMPK2;RNF213;HLA-A;IL4R;SLAMF7;IL2RB;MT2A;GBP4;STAT4;USP18;SELP;C1R;TNFAIP2;IFIT1;ST8SIA4;OGFR;TDRD7;ISOC1;ST3GAL5;MYD88;TNFAIP6;PARP14;CCL2;TRIM25;APOL6;TNFAIP3;NOD1;RSAD2;CXCL9;PTGS2;SAMD9L;IFIT2;JAK2;ZNFX1;LAP3;ITGB7;IL7;SRI;PNPT1;TRIM26;CFB;IDO1;CSF2RB;SOCS1;RIPK2;NAMPT;CCL7;IL6;SOCS3;PIM1;PLA2G4A;CFH;RIPK1;PNP;ARID5B;LATS2;TOR1B,31.83%,IRF9;RNF31;PSMA2;HLA-G;KLRK1;HLA-DMA;B2M;PFKP;NFKBIA;VAMP5;PTPN1;IFI30;BTG1;TXNIP;VAMP8;PARP12;PTPN6;NMI;DHX58;SECTM1;SLC25A28;IFI44;FPR1;NLRC5;GZMA;PSME2;TNFSF10;PSMB2;LGALS3BP;OAS3;ISG20;CIITA;SAMHD1;IFI35;STAT2;CD86;DDX60;NUP93;HLA-DRB1;HLA-B;IRF2;PLSCR1;TRIM21;CD38;BST2;BATF2;CCL5;PSMB10;LCP2;GBP6;MX2;SPPL2A;IRF1,53/114
10,HALLMARK_ANGIOGENESIS,0.12289525385172165,0.5484105201656473,1.3959860101272747,0.08045977011494253,OLR1;VTN;APOH;KCNJ8;LPL;LUM;NRP1;PRG2;STC1;SLCO2A1;PF4;CXCL6;CCND2;TNFRSF21;PGLYRP1;JAG1;LRPAP1;SERPINA5;FSTL1;MSX1;COL3A1;COL5A2,6.02%,OLR1;VTN;APOH;KCNJ8;LPL,5/22
11,HALLMARK_COAGULATION,0.12913981088937143,0.47284609036035447,1.4013767446619305,0.018255578093306288,C8A;C8B;OLR1;LEFTY2;F11;APOC1;ANXA1;CFD;GP9;FGA;A2M;APOA1;C1QA;CD9;SH2B2;CFI;LTA4H;F10;PREP;F13B;CAPN2;VWF;PROC;PEF1;CTSO;SERPINC1;FURIN;PDGFB;PROZ;C1R;PLEK;LRP1;F3;CRIP2;KLF7;MMP9;RABIF;MSRB2;GP1BA;KLKB1;PF4;APOC2;CTSK;CFB;TMPRSS6;MMP2;MASP2;TF;MMP15;ACOX2;GNB2;CPN1;CAPN5;SPARC;C3;HTRA1;MMP8;MMP10;TFPI2;CFH;GDA;MMP14;F12;BMP1;DPP4;C8G;APOC3;ITGB3;PRSS23;DUSP14;F2;GNG12;MMP7;COMP;ITGA2;ARF4;MMP11;THBS1;FBN1,15.07%,C8A;C8B;OLR1;LEFTY2;F11;APOC1;ANXA1;CFD;GP9;FGA;A2M;APOA1;C1QA;CD9;SH2B2;CFI;LTA4H;F10,18/79
12,HALLMARK_MITOTIC_SPINDLE,0.16241058083680357,0.45902689611451125,1.359782415892855,0.02404809619238477,KNTC1;TOP2A;PIF1;FGD6;ESPL1;CCNB2;ARAP3;CENPE;KIF2C;BUB1;LMNB1;RAPGEF5;TBCD;TUBGCP3;NEK2;SASS6;TIAM1;ECT2;KIF11;CENPF;SSH2;DOCK4;TRIO;PREX1;CEP192;NEDD9;RHOT2;ARHGAP10;TAOK2;PLK1;ANLN;KIF3C;ARL8A;KIF22;KIF20B;SYNPO;ARHGEF3;NET1;SMC3;CENPJ;RICTOR;CEP250;MYH10;DOCK2;TUBD1;ALMS1;RASA2;CAPZB;PLEKHG2;SPTBN1;DYNLL2;NCK1;RHOF;MYO1E;RAB3GAP1;KIFAP3;FARP1;RANBP9;MAPRE1;DST;PKD2;ROCK1;SOS1;RASAL2;RABGAP1;ACTN4;MARCKS;SAC3D1;NUMA1;KPTN;ARHGDIA;MAP3K11;KIF1B;WASF2;KIF5B;BRCA2;DYNC1H1;CD2AP;LATS1;SHROOM1;ARHGAP29;CDC42EP4;FGD4;TUBGCP2;KATNB1;RFC1;PAFAH1B1;CEP57;ARHGEF12;KIF3B;PCGF5;LLGL1;CDC42EP1;LRPPRC;NOTCH2;HOOK3;CDC42EP2;WASL;ABL1;PCM1;TUBA4A;STK38L;MYH9;ARFGEF1;FSCN1;MAP1S;PPP4R2;MARK4,24.25%,KNTC1;TOP2A;PIF1;FGD6;ESPL1;CCNB2;ARAP3;CENPE;KIF2C;BUB1;LMNB1;RAPGEF5;TBCD;TUBGCP3;NEK2;SASS6;TIAM1;ECT2;KIF11;CENPF;SSH2;DOCK4;TRIO;PREX1;CEP192;NEDD9;RHOT2;ARHGAP10;TAOK2;PLK1;ANLN;KIF3C;ARL8A;KIF22;KIF20B;SYNPO;ARHGEF3;NET1;SMC3;CENPJ,40/108
