,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.10936833119931712,0.5571183066403064,1.4427731433457491,0.004,OSMR;SOCS3;ITGB3;LTBR;TNFRSF1A;CD9;A2M;CCL7;IL7;STAM2;IL1R1;IL18R1;IL1B;ITGA4;PTPN11;CD38;TLR2;PDGFC;PF4;CXCL3;CXCL1;CXCL9;CXCL13;STAT2;INHBE;TNFRSF21;TNF;PIM1;IFNGR1;TNFRSF1B;MAP3K8;IL2RA;CBL;REG1A;IL17RA;HMOX1;CSF2RB;PTPN1;IL17RB;IRF9;TYK2;IL6;SOCS1;MYD88;EBI3;IFNGR2;IFNAR1;IL10RB;IL4R;TGFB1;TNFRSF12A;IRF1;CSF2,32.57%,OSMR;SOCS3;ITGB3;LTBR;TNFRSF1A;CD9;A2M;CCL7;IL7;STAM2;IL1R1;IL18R1;IL1B;ITGA4;PTPN11;CD38;TLR2;PDGFC;PF4;CXCL3;CXCL1;CXCL9;CXCL13;STAT2;INHBE;TNFRSF21;TNF;PIM1;IFNGR1,29/53
1,HALLMARK_ANGIOGENESIS,0.11353633162612035,0.6128268025812661,1.4727093209078441,0.018036072144288578,OLR1;CCND2;VTN;APOH;COL3A1;COL5A2;STC1;LPL;LUM;LRPAP1;MSX1;PF4;CXCL6;KCNJ8;TNFRSF21;FSTL1;SLCO2A1;NRP1;JAG1;PGLYRP1;SERPINA5;PRG2,34.54%,OLR1;CCND2;VTN;APOH;COL3A1;COL5A2;STC1;LPL;LUM;LRPAP1;MSX1;PF4;CXCL6;KCNJ8;TNFRSF21;FSTL1;SLCO2A1,17/22
2,HALLMARK_INFLAMMATORY_RESPONSE,0.1860595390524968,0.5439371674188033,1.4889127055399378,0.0,PTGER4;IL7R;OSMR;MYC;SCN1B;KCNJ2;ITGB3;SELE;SLAMF1;CD48;HAS2;BTG2;IL10;OLR1;C3AR1;RGS1;RGS16;SELL;CCL7;CCL2;CCL5;CCR7;TNFAIP6;IL18RAP;IL1R1;IL18R1;ACVR2A;NMI;IL1A;IL1B;MARCO;OPRK1;RIPK2;CALCRL;P2RX7;P2RX4;TLR2;EREG;CXCL6;NPFFR2;TLR1;PCDH7;TLR3;TACR3;CXCL9;SLC11A2;ROS1;RNF144B;ITGA5;KIF1B;TNFRSF1B;TNFRSF9;MXD1;LAMP3;RTP4;DCBLD2;TNFSF10;CHST2;CCL24;NAMPT;SRI;NMUR1;ABCA1;SEMA4D;TNFSF15;SLC31A2;GNAI3;F3;ADORA2B;GP1BA;IL2RB;TACR1;FZD5;LIF;OSM;LDLR;NFKBIA;STAB1;PTGER2;MMP14;ICAM1;CD70;TNFSF9;PTGIR;C5AR1;INHBA;AHR;ITGB8;SLC7A1;IL6;GPR132;IRAK2;RAF1;EBI3;IFNGR2;IFNAR1;GNA15;IL4R;BDKRB1;ADM;SLC1A2;BST2;FPR1;EMP3;NOD2;LCP2;RHOG;MEFV;HBEGF;IL12B;CCL17;CX3CL1;CCL22;IRF1,27.39%,PTGER4;IL7R;OSMR;MYC;SCN1B;KCNJ2;ITGB3;SELE;SLAMF1;CD48;HAS2;BTG2;IL10;OLR1;C3AR1;RGS1;RGS16;SELL;CCL7;CCL2;CCL5;CCR7;TNFAIP6;IL18RAP;IL1R1;IL18R1;ACVR2A;NMI;IL1A;IL1B;MARCO;OPRK1;RIPK2;CALCRL;P2RX7;P2RX4;TLR2;EREG;CXCL6;NPFFR2;TLR1;PCDH7;TLR3;TACR3;CXCL9;SLC11A2;ROS1;RNF144B,48/114
3,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.3436099551856594,0.5071619703692303,1.3209685857585631,0.034,ADCY2;CLTC;MAP2K6;ARHGDIA;TNFRSF1A;CDKN1B;FGF6;DUSP3;CXCR4;RALB;ACTR3;MAP2K3;RIT1;PDK1;FGF17;ARPC3;PTPN11;UBE2N;PLA2G12A;CDK4;DAPP1;ITPR2;ATF1;STAT2;RIPK1;CSNK2B;HSP90B1;NCK1;RPS6KA1;SLC2A1;GNA14;NGF;THEM4;VAV3;PRKAA2;PFN1;E2F1;CFL1;TRAF2;PPP2R1B;PIKFYVE;PTEN;PRKAR2A;CALR;PIN1;EGFR;NOD1;MYD88;RAF1;TIAM1;CAMK4;FGF22,30.26%,ADCY2;CLTC;MAP2K6;ARHGDIA;TNFRSF1A;CDKN1B;FGF6;DUSP3;CXCR4;RALB;ACTR3;MAP2K3;RIT1;PDK1;FGF17;ARPC3;PTPN11;UBE2N;PLA2G12A;CDK4;DAPP1;ITPR2;ATF1;STAT2;RIPK1;CSNK2B;HSP90B1,27/52
4,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.6685139244558258,0.45862964831806263,1.173335467941647,0.165,SQLE;ECH1;ACTG1;FASN;PCYT2;CD9;FABP5;TMEM97;PMVK;ALDOC;HSD17B7;MAL2;FDFT1;LPL;ATXN2;AVPR1A;ANTXR2;ACAT2;PNRC1;ERRFI1;FBXO6;ANXA5;ALCAM;PLSCR1;GUSB;GNAI1;S100A11;SCD;TM7SF2;IDI1;SREBF2;LDLR;GLDC;JAG1;ETHE1;MVD;FADS2;STX5;TNFRSF12A;STARD4,43.40%,SQLE;ECH1;ACTG1;FASN;PCYT2;CD9;FABP5;TMEM97;PMVK;ALDOC;HSD17B7;MAL2;FDFT1;LPL;ATXN2;AVPR1A;ANTXR2;ACAT2;PNRC1;ERRFI1;FBXO6;ANXA5;ALCAM;PLSCR1;GUSB;GNAI1,26/40
5,HALLMARK_E2F_TARGETS,0.674670439995344,0.4249708265669761,1.1625989814399438,0.12,TRIP13;MYC;TUBG1;TK1;PPM1D;ATAD2;DSCC1;NCAPD2;CDKN1B;CDCA3;KIF18B;TOP2A;MCM6;SPAG5;GINS4;NBN;SPC25;RAD21;CIT;TACC3;NUP107;DCK;RFC1;PLK4;CENPE;RAN;SLBP;CDK4;TIMELESS;PA2G4;ASF1A;NUP153;TUBB;ESPL1;MCM3;PRIM2;MCM2;RPA2;CDCA8;STAG1;KIF2C;CDC20;XPO1;POLE4;MSH2;MAD2L1;TRA2B;POP7;NUP205;CKS2;STMN1;DCLRE1B;NOLC1;HELLS;AURKB;NAA38;POLD3;SMC3;POLA2;RPA1;CCNB2;BARD1;RANBP1;XRCC6;MCM5;BUB1B;SPC24;PNN;BRMS1L;MYBL2;GINS1;RNASEH2A;ASF1B;HUS1;RPA3;EXOSC8;DIAPH3;BRCA2;RFC3;PDS5B;KIF22;CTCF;MELK;DONSON;SSRP1;IPO7;E2F8;EIF2S1;UBE2S;LIG1;POLD1;NUDT21;PLK1;DCTPP1;WDR90;PTTG1;LMNB1,30.61%,TRIP13;MYC;TUBG1;TK1;PPM1D;ATAD2;DSCC1;NCAPD2;CDKN1B;CDCA3;KIF18B;TOP2A;MCM6;SPAG5;GINS4;NBN;SPC25;RAD21;CIT;TACC3;NUP107;DCK;RFC1;PLK4;CENPE;RAN;SLBP;CDK4;TIMELESS;PA2G4;ASF1A;NUP153;TUBB;ESPL1;MCM3;PRIM2,36/97
6,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6984735115236876,0.4208219277820197,1.1494579192204528,0.124,DAB2;BASP1;CDH6;ITGB3;SNTB1;FMOD;MGP;MFAP5;ENO2;COL1A1;LAMC1;IGFBP4;FAP;CTHRC1;TNFRSF11B;SFRP1;SNAI2;COL3A1;COL5A2;LOXL2;SLIT2;BMP1;GLIPR1;LUM;MSX1;SGCB;AREG;CXCL6;CXCL1;VEGFC;NT5E;CAP2;LRP1;ITGA5;DST;THBS2;TNFAIP3;FSTL1;ITGB5;COL8A2;COL5A1;GPC1;FUCA1;COL16A1;PLOD1;IGFBP2;ABI3BP;PCOLCE2;PCOLCE;TFPI2;COL1A2;PLOD3;FGF2;TNC;MATN3;GPX7;NOTCH2;ID2;TGFBR3;GADD45A;SERPINH1;DKK1;EFEMP2;VIM;HTRA1;ANPEP;THY1;SCG2;FBN1;LOXL1;PPIB;CAPG;LGALS1;THBS1;NTM;GREM1;WNT5A;COL7A1;CDH2;SDC4;COL4A2;COL4A1;MMP14;NID2;COMP;TPM4;COL5A3;INHBA;SFRP4;SGCG;IL6;GADD45B;FSTL3;CDH11;OXTR;COL6A2;FBLN5;LAMA1;CRLF1;ITGA2;TGFB1;EMP3;SLIT3;MMP2;TNFRSF12A;SPARC;PDGFRB;DPYSL3;TGFBI;SPOCK1;EDIL3;LOX;FBN2,34.16%,DAB2;BASP1;CDH6;ITGB3;SNTB1;FMOD;MGP;MFAP5;ENO2;COL1A1;LAMC1;IGFBP4;FAP;CTHRC1;TNFRSF11B;SFRP1;SNAI2;COL3A1;COL5A2;LOXL2;SLIT2;BMP1;GLIPR1;LUM;MSX1;SGCB;AREG;CXCL6;CXCL1;VEGFC;NT5E;CAP2;LRP1;ITGA5;DST;THBS2;TNFAIP3;FSTL1;ITGB5;COL8A2;COL5A1;GPC1,42/113
7,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.7187855669369754,0.49193694622783857,1.177042444175455,0.2156469408224674,MYC;NCSTN;CCND2;KAT2A;AXIN2;DKK4;CUL1;HEY2;WNT1;HDAC2;NOTCH4;DLL1;WNT6;GNAI1;ADAM17;DVL2;DKK1;NOTCH1;JAG1;MAML1;NKD1,31.39%,MYC;NCSTN;CCND2;KAT2A;AXIN2;DKK4;CUL1;HEY2;WNT1;HDAC2;NOTCH4;DLL1,12/21
8,HALLMARK_ANDROGEN_RESPONSE,0.7509545911834643,0.4569747894328135,1.198947842028431,0.124,ANKH;APPBP2;RAB4A;KRT19;MERTK;GSR;STK39;NKX3-1;SEC24D;SPCS3;HERC3;BMPR1B;SLC38A2;PA2G4;MAK;KRT8;SRF;ELOVL5;AKAP12;UBE2J1;SPDEF;PGM3;SGK1;MAP7;XRCC5;TMEM50A;STEAP4;GNAI3;DNAJB9;DHCR24;SCD;ZMIZ1;ARID5B;CCND1;IDI1;ALDH1A3;B2M;SORD;PIAS1;XRCC6;TSC22D1;LMAN1;ABCC4;GPD1L;B4GALT1;ADAMTS1;PTPN21;FADS1;HSD17B14;ELL2;SLC26A2;SRP19;TNFAIP8;IQGAP2,32.51%,ANKH;APPBP2;RAB4A;KRT19;MERTK;GSR;STK39;NKX3-1;SEC24D;SPCS3;HERC3;BMPR1B;SLC38A2;PA2G4;MAK;KRT8;SRF;ELOVL5;AKAP12;UBE2J1;SPDEF;PGM3;SGK1;MAP7,24/54
9,HALLMARK_ESTROGEN_RESPONSE_LATE,0.7876091777940369,0.40697511377642037,1.1161312853384477,0.179,PRLR;BLVRB;ZFP36;ST6GALNAC2;SLC9A3R1;OPN3;DCXR;CD9;PTPN6;FKBP4;IGFBP4;DUSP2;TOP2A;CDC6;FABP5;COX6C;KRT19;RAPGEFL1;CA2;S100A9;EGR3;FDFT1;HSPB8;NPY1R;UGDH;AREG;NMU;HSPA4L;PLK4;CPE;AFF1;FRK;NAB2;MAPK13;MICB;CHPT1;ELOVL5;RPS6KA2;KCNK5;SGK1;PERP;CDC20;CYP26B1;SIAH2;TFPI2;PRKAR2B;KLF4;FAM102A;SLC2A8;PTGES;ANXA9;CELSR2;ID2;CAV1;JAK1;ARL3;PRSS23;PPIF;DLG5;TFAP2C;GAL;DNAJC12;CCND1;DNAJC1;CLIC3;ISG20;IDH2;TRIM29;SORD;TST;PGR;ST14;OLFM1;ACOX2;IL17RB;TNNC1;SLC24A3;METTL3;RNASEH2A;OVOL2;TSPAN13;AGR2;SNX10;CKB;BCL2;FARP1;CDH1;SLC7A5;JAK2;UNC13B;TJP3;LTF;PCP4;TFF3;TFF1;GINS2;TIAM1;NRIP1;IMPA2;RAB31;ITPK1;FOS;BATF;SERPINA5;SERPINA3;SULT2B1;ETFB;AMFR;EMP2;KIF20A;ABCA3;CXCL14;SLC26A2;SLC22A5,32.75%,PRLR;BLVRB;ZFP36;ST6GALNAC2;SLC9A3R1;OPN3;DCXR;CD9;PTPN6;FKBP4;IGFBP4;DUSP2;TOP2A;CDC6;FABP5;COX6C;KRT19;RAPGEFL1;CA2;S100A9;EGR3;FDFT1;HSPB8;NPY1R;UGDH;AREG;NMU;HSPA4L;PLK4;CPE;AFF1;FRK;NAB2;MAPK13;MICB;CHPT1;ELOVL5;RPS6KA2;KCNK5;SGK1;PERP,41/114
10,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.790377920934699,0.42978960873751804,1.1794568407647055,0.095,PTGER4;IL7R;TRIB1;ZFP36;MYC;SOCS3;BTG2;TUBB2A;OLR1;PTGS2;STAT5A;DUSP2;CCL2;CCL5;EIF1;MSC;TNFAIP6;NR4A2;TANK;KYNU;IL1A;IL1B;MAP2K3;KLF10;RIPK2;EGR3;BTG1;TLR2;AREG;CXCL3;CXCL2;CXCL6;CXCL1;IL23A;MARCKS;IER3;TAP1;TNF;NFKBIE;DRAM1;PNRC1;SGK1;TNFAIP3;YRDC;ZC3H12A;SPSB1;TNFRSF9;MXD1;REL;PLEK;FOSL2;CD80;CCNL1;TIPARP;HES1;NAMPT;KLF9;NINJ1;ABCA1;KLF4;TRAF1;TNC;ID2;F3;DNAJB4;GADD45A;EHD1;DUSP5;PER1;KDM6B;CCND1;MAP3K8;FOSL1;PFKFB3;SMAD3;LIF;PANX1;BIRC2;LDLR;NFKBIA;B4GALT5;SDC4;IRS2;JAG1;BMP2;KLF2;ICAM1;IER2;TRIP10;TNFSF9;RELB;BCL3;INHBA;TSC22D1;IFIT2;IL6;GADD45B;BHLHE40;B4GALT1;IFNGR2;ETS2;FOS;DENND5A;TNFAIP2;PPP1R15A;GFPT2;DUSP1;SNN;EGR1;HBEGF;TNIP1;IL12B;TNFAIP8;PLK2;F2RL1;IRF1;CSF2,33.79%,PTGER4;IL7R;TRIB1;ZFP36;MYC;SOCS3;BTG2;TUBB2A;OLR1;PTGS2;STAT5A;DUSP2;CCL2;CCL5;EIF1;MSC;TNFAIP6;NR4A2;TANK;KYNU;IL1A;IL1B;MAP2K3;KLF10;RIPK2;EGR3;BTG1;TLR2;AREG;CXCL3;CXCL2;CXCL6;CXCL1;IL23A;MARCKS;IER3;TAP1;TNF;NFKBIE;DRAM1;PNRC1;SGK1;TNFAIP3;YRDC;ZC3H12A,45/117
11,HALLMARK_ALLOGRAFT_REJECTION,0.8311890574214518,0.4067762412848028,1.1188951741121007,0.173,CD1D;CD7;IL10;CD4;PTPN6;CCND2;CCL11;CCL7;CCL2;CCL5;IL7;LY75;IL18RAP;ZAP70;ACVR2A;INHBB;IL1B;NOS2;IKBKB;RIPK2;STAT4;UBE2N;IFNG;TLR2;RPS3A;PF4;EREG;TLR1;TLR6;TLR3;CXCL9;CXCL13;BCAT1;LY86;HLA-A;HLA-G;HLA-E;KRT1;HLA-DRA;HLA-DOB;TAP1;HLA-DMB;HLA-DMA;HLA-DOA;TNF;IFNGR1;HCLS1;CD86;NCK1;MRPL3;TRAT1;CD80;IL12A;IL2;CD2;EIF4G3;CTSS;GBP2;BCL10;GLMN;IL2RB;SRGN;UBE2D1;EIF3A;TRAF2;IL2RA;CD3E;THY1;B2M;IL16;CD28;CAPG;CD3G;LIF;EIF3D;EIF3J;CRTAM;ETS1;GALNT1;STAB1;MMP9;GZMB;ICAM1;IL27RA;BCL3;EGFR;INHBA;IL6;ELANE;SOCS1;PSMB10;JAK2;IFNGR2;CCL19;SIT1;IL4R;IRF8;GPR65;F2;IL11;RPS9;PRKCG;TGFB1;GZMA;RPS19;LCP2;IL9;ITK;RPL3L;ST8SIA4;IL12B;CCL22;IL13;CARTPT;F2R,29.92%,CD1D;CD7;IL10;CD4;PTPN6;CCND2;CCL11;CCL7;CCL2;CCL5;IL7;LY75;IL18RAP;ZAP70;ACVR2A;INHBB;IL1B;NOS2;IKBKB;RIPK2;STAT4;UBE2N;IFNG;TLR2;RPS3A;PF4;EREG;TLR1;TLR6;TLR3;CXCL9;CXCL13;BCAT1;LY86;HLA-A;HLA-G;HLA-E;KRT1;HLA-DRA;HLA-DOB;TAP1;HLA-DMB;HLA-DMA;HLA-DOA;TNF,45/115
12,HALLMARK_APOPTOSIS,0.8376013657703798,0.45128552440828523,1.203174534252669,0.098,ANKH;DAP;TIMP2;PEA15;BTG2;EMP1;CDKN1B;ENO2;CCND2;RNASEL;TOP2A;SLC20A1;IL1A;IL1B;GSR;EGR3;BNIP3L;LUM;CD38;EREG;AVPR1A;ERBB3;NEDD9;IER3;IGFBP6;TAP1;TNF;IGF2R;IFNGR1;PPP3R1;TNFSF10;HSPB1;ANXA1;CD2;TXNIP;BCL10;DPYD;CAV1;TGFBR3;GADD45A;PPP2R5B;VDAC2;GUCY2D;CCND1;MGMT;ISG20;RETSAT;BCL2L10;HMOX1;BIK;PLCB2;FEZ1;SMAD7;BCL2L2;BMP2;IL6;GADD45B;DNAJC3;SOD1;GNA15;ROCK1;F2;MMP2;ETF1;TNFRSF12A;GPX3;PDGFRB;RHOT2;F2R;IRF1,32.57%,ANKH;DAP;TIMP2;PEA15;BTG2;EMP1;CDKN1B;ENO2;CCND2;RNASEL;TOP2A;SLC20A1;IL1A;IL1B;GSR;EGR3;BNIP3L;LUM;CD38;EREG;AVPR1A;ERBB3;NEDD9;IER3;IGFBP6;TAP1;TNF;IGF2R;IFNGR1,29/70
13,HALLMARK_KRAS_SIGNALING_DN,0.8443201824583866,0.38781353882949715,1.056186703274981,0.319,SLC6A3;NPHS1;ATP4A;GPRC5C;RYR2;TG;CYP11B2;BTG2;NTF3;KLHDC8A;CLSTN3;GPR19;NRIP2;PDK2;COPZ2;KRT15;PNMT;NR4A2;TFCP2L1;EDAR;CACNG1;TEX15;ABCB11;MFSD6;HNF1A;NOS1;IFNG;AMBN;EGF;SLC16A7;GRID2;BMPR1B;CDKAL1;KRT4;KRT1;KRT5;CYP39A1;TFAP2B;CLPS;SGK1;MTHFR;EDN2;ATP6V1B1;SLC30A3;IGFBP2;SIDT1;CD80;CHST2;CPB1;PAX4;CPA2;C5;TSHB;CELSR2;RSAD2;INSL5;ENTPD7;TLX1;OXT;CPEB3;ALOX12B;GP1BA;YBX2;MYO15A;SPTBN2;SLC29A3;TCF7L1;EFHD1;THNSL2;BARD1;PRODH;YPEL1;SOX10;RIBC2;VPREB1;ACTC1;ITIH3;SLC38A3;TGM1;MYH7;SLC25A23;LYPD3;CKM;LFNG;DCC;CDH16;SCN10A;CCR8;HSD11B2;KCNE2;TFF2;NGB;PTPRJ;CALCB;MAST3;KCNN1;SLC5A5;TNNI3;SPHK2;CCDC106;PROP1;SNN;MEFV;SYNPO;IL12B;FGF22,29.44%,SLC6A3;NPHS1;ATP4A;GPRC5C;RYR2;TG;CYP11B2;BTG2;NTF3;KLHDC8A;CLSTN3;GPR19;NRIP2;PDK2;COPZ2;KRT15;PNMT;NR4A2;TFCP2L1;EDAR;CACNG1;TEX15;ABCB11;MFSD6;HNF1A;NOS1;IFNG;AMBN;EGF;SLC16A7;GRID2;BMPR1B;CDKAL1;KRT4;KRT1;KRT5;CYP39A1;TFAP2B,38/106
14,HALLMARK_MYC_TARGETS_V1,0.8779651593773166,0.38827478007307736,1.058132676288035,0.317,CCT5;SNRPA;FBL;MYC;UBA2;PSMD8;KPNB1;CYC1;STARD7;COPS5;MCM6;PSMD14;PSMB3;PSMD3;DDX18;ILF2;HNRNPA3;PABPC1;PWP1;CCT2;RAN;CUL1;CDK4;DHX15;PA2G4;HDDC2;HDAC2;MRPS18B;PTGES3;LSM2;HSP90AB1;RPS10;GLO1;SRPK1;PSMB2;MCM2;RPL22;SRM;CDC20;SNRPG;CAD;CCT4;XPO1;MAD2L1;TRA2B;SSBP1;RAD23B;FAM120A;SET;YWHAQ;ODC1;CCNA2;TYMS;NOLC1;C1QBP;EIF2S2;CLNS1A;RPS3;DDX21;SNRPA1;COX5A;HSPE1;PSMD1;PSMA7;RANBP1;XRCC6;MCM5;EIF3D;EIF3J;SNRPD3;PSMA6;RRP9;IMPDH2;SMARCC1;SNRPD1;PSMC6;PPIA;PSMA2;AIMP2;RPS6;LSM7;GOT2;EXOSC7;TUFM;SF3B3;PSMD7;PSMA1;ERH;EIF2S1;PRPF31;RUVBL2;RPL18;MRPL23;RSL1D1;NOP16;RRM1;ETF1;NDUFAB1;VDAC1;AP3S1,38.30%,CCT5;SNRPA;FBL;MYC;UBA2;PSMD8;KPNB1;CYC1;STARD7;COPS5;MCM6;PSMD14;PSMB3;PSMD3;DDX18;ILF2;HNRNPA3;PABPC1;PWP1;CCT2;RAN;CUL1;CDK4;DHX15;PA2G4;HDDC2;HDAC2;MRPS18B;PTGES3;LSM2;HSP90AB1;RPS10;GLO1;SRPK1;PSMB2;MCM2;RPL22;SRM;CDC20;SNRPG;CAD;CCT4;XPO1,43/100
15,HALLMARK_MTORC1_SIGNALING,0.9110415332906531,0.3944363213802229,1.0782612152986841,0.27,SRD5A1;SQLE;GPI;TUBG1;SLC9A3R1;BTG2;GAPDH;CD9;ADIPOR2;UCHL5;NMT1;COPS5;CXCR4;PSMD14;ACTR3;BUB1;TMEM97;MAP2K3;RIT1;GSR;PDK1;STC1;LTA4H;QDPR;ABCF2;USO1;MTHFD2L;SLC7A11;DAPP1;TXNRD1;BCAT1;SSR1;HSP90B1;ME1;GCLC;ELOVL5;MCM2;RPN1;ENO1;SLC2A1;PNO1;TUBA4A;IGFBP5;GMPS;ARPC5L;HSPA5;PDAP1;NUP205;PSMC2;NAMPT;MLLT11;PHGDH;TES;PGM1;DHCR24;SCD;GOT1;EIF2S2;TM7SF2;SERPINH1;PPA1;IDI1;DDIT4;RPA1;HMBS;SEC11A;SORD;HSPE1;HK2;SDF2L1;PITPNB;CTSC;LDLR;EGLN3;RRP9;PNP;PSMC6;CALR;PPIA;YKT6;GBE1;NUFIP1;UFM1;SKAP2;CYB5B;SLC7A5;EDEM1;BHLHE40;CORO1A;FADS1;FADS2;STIP1;IFI30;RDH11;ATP6V1D;PPP1R15A;HSPA9;ETF1;PLK1;GGA2;CCNF;STARD4;HSPA4;POLR3G,30.68%,SRD5A1;SQLE;GPI;TUBG1;SLC9A3R1;BTG2;GAPDH;CD9;ADIPOR2;UCHL5;NMT1;COPS5;CXCR4;PSMD14;ACTR3;BUB1;TMEM97;MAP2K3;RIT1;GSR;PDK1;STC1;LTA4H;QDPR;ABCF2;USO1;MTHFD2L;SLC7A11;DAPP1;TXNRD1;BCAT1;SSR1;HSP90B1;ME1;GCLC;ELOVL5,36/104
16,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.9182382806942667,0.3896468964428506,1.059673462968911,0.321,MRPS30;NDUFS6;COX6B1;TIMM50;GPI;ECH1;FH;CYC1;NQO2;NDUFA9;TIMM17A;COX6C;UQCRB;COX5B;MGST3;MRPL15;DECR1;SLC25A12;COX6A1;GRPEL1;SLC25A4;NDUFC1;LDHB;CS;COX17;MRPS15;UQCRH;LRPPRC;NDUFB5;MDH1;MRPS22;POR;MDH2;NDUFB2;PDK4;DLD;ATP6V1F;ISCA1;ATP6V1G1;SURF1;SDHB;NDUFA5;NDUFB8;VDAC2;COX10;NDUFS8;NDUFC2;SUPV3L1;ECHS1;PMPCA;OAT;ACADSB;IDH3A;IDH2;DLAT;SDHD;COX5A;RETSAT;SUCLG1;POLR2F;TOMM22;ACO2;NDUFA6;CYB5R3;ACAT1;FDX1;ACAA2;PDHB;SLC25A20;UQCRC1;OXA1L;NDUFB7;NDUFA7;NDUFA4;SUCLA2;MTRF1;GLUD1;NDUFS7;TIMM13;GOT2;COX4I1;NDUFV2;AFG3L2;NDUFB1;ALDH6A1;DLST;UQCRFS1;TIMM10;COX8A;MRPL34;ATP6V1D;NDUFA3;NDUFS4;ETFB;ATP6V0E1;HSPA9;NDUFAB1;UQCRC2;ATP6V0C;RHOT2;VDAC1;UQCRQ;COX7C,25.76%,MRPS30;NDUFS6;COX6B1;TIMM50;GPI;ECH1;FH;CYC1;NQO2;NDUFA9;TIMM17A;COX6C;UQCRB;COX5B;MGST3;MRPL15;DECR1;SLC25A12;COX6A1;GRPEL1;SLC25A4;NDUFC1;LDHB;CS,24/103
17,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.9221186073661217,0.39011600653040457,1.0679496260459564,0.285,SOCS3;RNF213;LGALS3BP;TRIM25;SLAMF7;SECTM1;PLA2G4A;KLRK1;PTPN6;C1R;CFH;PTGS2;SELP;IFI35;DHX58;VAMP5;VAMP8;CCL7;CCL2;CCL5;IL7;TNFAIP6;NMI;IDO1;RIPK2;STAT4;BTG1;OAS3;CD38;LAP3;IRF2;DDX60;CXCL9;STAT2;RIPK1;HLA-A;HLA-G;TRIM26;ITGB7;CFB;TAP1;HLA-DMA;HLA-B;PIM1;TNFAIP3;PSMB2;PARP14;CD86;PNPT1;RTP4;TNFSF10;PLSCR1;HLA-DRB1;SAMD9L;PARP12;NAMPT;SRI;TDRD7;TOR1B;TXNIP;GBP4;GBP6;IFI44;RSAD2;CMPK2;SLC25A28;BATF2;IL2RB;SAMHD1;ARID5B;PFKP;ISG20;B2M;ST3GAL5;SPPL2A;OGFR;USP18;APOL6;CSF2RB;NFKBIA;PTPN1;ZNFX1;RNF31;PSME2;IRF9;PNP;ICAM1;PSMA2;LATS2;IFIT2;NOD1;IFIT1;IL6;SOCS1;PSMB10;JAK2;MYD88;MX2;IL4R;IRF8;TRIM21;IFI30;BST2;TNFAIP2;GZMA;FPR1;CIITA;NLRC5;LCP2;NUP93;MT2A;ST8SIA4;ISOC1;IRF1,33.19%,SOCS3;RNF213;LGALS3BP;TRIM25;SLAMF7;SECTM1;PLA2G4A;KLRK1;PTPN6;C1R;CFH;PTGS2;SELP;IFI35;DHX58;VAMP5;VAMP8;CCL7;CCL2;CCL5;IL7;TNFAIP6;NMI;IDO1;RIPK2;STAT4;BTG1;OAS3;CD38;LAP3;IRF2;DDX60;CXCL9;STAT2;RIPK1;HLA-A;HLA-G;TRIM26;ITGB7;CFB;TAP1;HLA-DMA;HLA-B;PIM1;TNFAIP3;PSMB2;PARP14,47/114
